Action_Cash,Action_XOM,Action_CVX,Action_OKE,Action_VLO,Action_SHEL,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_XOM_close_L1,State_XOM_high_L1,State_XOM_low_L1,State_XOM_open_L1,State_CVX_close_L1,State_CVX_high_L1,State_CVX_low_L1,State_CVX_open_L1,State_OKE_close_L1,State_OKE_high_L1,State_OKE_low_L1,State_OKE_open_L1,State_VLO_close_L1,State_VLO_high_L1,State_VLO_low_L1,State_VLO_open_L1,State_SHEL_close_L1,State_SHEL_high_L1,State_SHEL_low_L1,State_SHEL_open_L1
0.15733707,0.17369923,0.17749712,0.18408734,0.14844191,0.15893732,1.0,1.0,1.0,1.0,0.64306623,0.66758141,0.64251738,0.66758141,0.6485547,0.66483718,0.64635931,0.66483718,0.65312843,0.66319063,0.64489572,0.66319063,0.63611416,0.64727406,0.63428467,0.64727406,0.63465057,0.64635931,0.63025979,0.64635931
0.15605319,0.17514242,0.17791122,0.18483327,0.14707291,0.15898696,1.0,1.0,1.0,1.0,0.6485547,0.66483718,0.64635931,0.66483718,0.65312843,0.66319063,0.64489572,0.66319063,0.63611416,0.64727406,0.63428467,0.64727406,0.63465057,0.64635931,0.63025979,0.64635931,0.60848884,0.63410172,0.60739115,0.63410172
0.15466502,0.1764407,0.17822756,0.18550114,0.14597711,0.1591885,1.0,1.0,1.0,1.0,0.65312843,0.66319063,0.64489572,0.66319063,0.63611416,0.64727406,0.63428467,0.64727406,0.63465057,0.64635931,0.63025979,0.64635931,0.60848884,0.63410172,0.60739115,0.63410172,0.62751555,0.6284303,0.60464691,0.6284303
0.15343265,0.1777384,0.17855325,0.18630773,0.14476599,0.15920204,1.0,1.0,1.0,1.0,0.63611416,0.64727406,0.63428467,0.64727406,0.63465057,0.64635931,0.63025979,0.64635931,0.60848884,0.63410172,0.60739115,0.63410172,0.62751555,0.6284303,0.60464691,0.6284303,0.62751555,0.63684596,0.62129528,0.63684596
0.15098117,0.18085897,0.17919132,0.18791932,0.1420335,0.1590157,1.0,1.0,1.0,1.0,0.63465057,0.64635931,0.63025979,0.64635931,0.60848884,0.63410172,0.60739115,0.63410172,0.62751555,0.6284303,0.60464691,0.6284303,0.62751555,0.63684596,0.62129528,0.63684596,0.64837175,0.65020124,0.62166118,0.65020124
0.14791319,0.18489477,0.17934409,0.18954113,0.13916308,0.15914367,1.0,1.0,1.0,1.0,0.60848884,0.63410172,0.60739115,0.63410172,0.62751555,0.6284303,0.60464691,0.6284303,0.62751555,0.63684596,0.62129528,0.63684596,0.64837175,0.65020124,0.62166118,0.65020124,0.65660446,0.66337358,0.65038419,0.66337358
0.14377496,0.19071923,0.17912553,0.19248915,0.13478632,0.15910476,1.0,1.0,1.0,1.0,0.62751555,0.6284303,0.60464691,0.6284303,0.62751555,0.63684596,0.62129528,0.63684596,0.64837175,0.65020124,0.62166118,0.65020124,0.65660446,0.66337358,0.65038419,0.66337358,0.65148189,0.65916575,0.64416392,0.65916575
0.13806339,0.19910957,0.1789286,0.19737214,0.12821203,0.15831427,1.0,1.0,1.0,1.0,0.62751555,0.63684596,0.62129528,0.63684596,0.64837175,0.65020124,0.62166118,0.65020124,0.65660446,0.66337358,0.65038419,0.66337358,0.65148189,0.65916575,0.64416392,0.65916575,0.64032199,0.65751921,0.63830955,0.65751921
0.13211966,0.20843805,0.17764032,0.2018438,0.12205201,0.15790613,1.0,1.0,1.0,1.0,0.64837175,0.65020124,0.62166118,0.65020124,0.65660446,0.66337358,0.65038419,0.66337358,0.65148189,0.65916575,0.64416392,0.65916575,0.64032199,0.65751921,0.63830955,0.65751921,0.62532016,0.64013904,0.62495426,0.64013904
0.12607332,0.22118422,0.17685626,0.20024562,0.11677881,0.15886182,1.0,1.0,1.0,1.0,0.65660446,0.66337358,0.65038419,0.66337358,0.65148189,0.65916575,0.64416392,0.65916575,0.64032199,0.65751921,0.63830955,0.65751921,0.62532016,0.64013904,0.62495426,0.64013904,0.65697036,0.66483718,0.63428467,0.66483718
0.12555093,0.22885576,0.17158325,0.19138679,0.12027536,0.16234793,1.0,1.0,1.0,1.0,0.65148189,0.65916575,0.64416392,0.65916575,0.64032199,0.65751921,0.63830955,0.65751921,0.62532016,0.64013904,0.62495426,0.64013904,0.65697036,0.66483718,0.63428467,0.66483718,0.64160263,0.64946945,0.6381266,0.64946945
0.13363343,0.22277948,0.16369127,0.17866108,0.1379342,0.16330056,1.0,1.0,1.0,1.0,0.64032199,0.65751921,0.63830955,0.65751921,0.62532016,0.64013904,0.62495426,0.64013904,0.65697036,0.66483718,0.63428467,0.66483718,0.64160263,0.64946945,0.6381266,0.64946945,0.64288328,0.64471277,0.63282108,0.64471277
0.11977582,0.2579303,0.15580289,0.17597921,0.1289804,0.1615313,1.0,1.0,1.0,1.0,0.62532016,0.64013904,0.62495426,0.64013904,0.65697036,0.66483718,0.63428467,0.66483718,0.64160263,0.64946945,0.6381266,0.64946945,0.64288328,0.64471277,0.63282108,0.64471277,0.6388584,0.65349433,0.63538236,0.65349433
0.1483152,0.21953014,0.1461724,0.15548824,0.17682216,0.15367183,1.0,1.0,1.0,1.0,0.65697036,0.66483718,0.63428467,0.66483718,0.64160263,0.64946945,0.6381266,0.64946945,0.64288328,0.64471277,0.63282108,0.64471277,0.6388584,0.65349433,0.63538236,0.65349433,0.64837175,0.6485547,0.63208928,0.6485547
0.157568,0.20551531,0.14642836,0.15234588,0.18496166,0.1531808,1.0,1.0,1.0,1.0,0.64160263,0.64946945,0.6381266,0.64946945,0.64288328,0.64471277,0.63282108,0.64471277,0.6388584,0.65349433,0.63538236,0.65349433,0.64837175,0.6485547,0.63208928,0.6485547,0.64068789,0.65093304,0.63940724,0.65093304
0.15873648,0.19618447,0.15240426,0.15592737,0.17774478,0.15900265,1.0,1.0,1.0,1.0,0.64288328,0.64471277,0.63282108,0.64471277,0.6388584,0.65349433,0.63538236,0.65349433,0.64837175,0.6485547,0.63208928,0.6485547,0.64068789,0.65093304,0.63940724,0.65093304,0.64782291,0.6485547,0.63757775,0.6485547
0.15379961,0.2066513,0.15099196,0.15608487,0.17138536,0.16108683,1.0,1.0,1.0,1.0,0.6388584,0.65349433,0.63538236,0.65349433,0.64837175,0.6485547,0.63208928,0.6485547,0.64068789,0.65093304,0.63940724,0.65093304,0.64782291,0.6485547,0.63757775,0.6485547,0.61598975,0.63519941,0.61544091,0.63519941
0.14635088,0.2266325,0.14746393,0.15467884,0.16328567,0.1615882,1.0,1.0,1.0,1.0,0.64837175,0.6485547,0.63208928,0.6485547,0.64068789,0.65093304,0.63940724,0.65093304,0.64782291,0.6485547,0.63757775,0.6485547,0.61598975,0.63519941,0.61544091,0.63519941,0.61909989,0.62038053,0.60190267,0.62038053
0.1373024,0.2548096,0.14163269,0.15140064,0.15483715,0.16001748,1.0,1.0,1.0,1.0,0.64068789,0.65093304,0.63940724,0.65093304,0.64782291,0.6485547,0.63757775,0.6485547,0.61598975,0.63519941,0.61544091,0.63519941,0.61909989,0.62038053,0.60190267,0.62038053,0.62166118,0.62532016,0.61013538,0.62532016
0.12855236,0.28563356,0.13468392,0.14630255,0.14752962,0.15729801,1.0,1.0,1.0,1.0,0.64782291,0.6485547,0.63757775,0.6485547,0.61598975,0.63519941,0.61544091,0.63519941,0.61909989,0.62038053,0.60190267,0.62038053,0.62166118,0.62532016,0.61013538,0.62532016,0.63959019,0.64141969,0.62147823,0.64141969
0.11929062,0.32068518,0.1267138,0.14003044,0.13963103,0.15364894,1.0,1.0,1.0,1.0,0.61598975,0.63519941,0.61544091,0.63519941,0.61909989,0.62038053,0.60190267,0.62038053,0.62166118,0.62532016,0.61013538,0.62532016,0.63959019,0.64141969,0.62147823,0.64141969,0.64507867,0.65184779,0.64032199,0.65184779
0.11020215,0.35783657,0.11862644,0.13316454,0.13102862,0.14914167,1.0,1.0,1.0,1.0,0.61909989,0.62038053,0.60190267,0.62038053,0.62166118,0.62532016,0.61013538,0.62532016,0.63959019,0.64141969,0.62147823,0.64141969,0.64507867,0.65184779,0.64032199,0.65184779,0.64196853,0.64581046,0.63629711,0.64581046
0.10192219,0.3941732,0.1108585,0.12603708,0.12303258,0.14397651,1.0,1.0,1.0,1.0,0.62166118,0.62532016,0.61013538,0.62532016,0.63959019,0.64141969,0.62147823,0.64141969,0.64507867,0.65184779,0.64032199,0.65184779,0.64196853,0.64581046,0.63629711,0.64581046,0.63904135,0.64032199,0.62989389,0.64032199
