Date,Ticker,Open,High,Low,Close,Volume,Percent Change
2024-01-02 00:00:00-05:00,AAPL,186.23761848029775,187.52133810124718,182.9935167810597,184.7349853515625,82488700,
2024-01-03 00:00:00-05:00,AAPL,183.3219235886338,184.97383468669904,182.53576635735126,183.35177612304688,58414500,-0.7487532618054349
2024-01-04 00:00:00-05:00,AAPL,181.26198308479132,182.19740286158623,179.99818547387906,181.02316284179688,71983600,-1.2700249381207396
2024-01-05 00:00:00-05:00,AAPL,181.10277101042314,181.8690061871609,179.29163655398915,180.2967071533203,62303300,-0.4013053783130771
2024-01-08 00:00:00-05:00,AAPL,181.20228054123743,184.6951784875532,180.6151605231867,184.65536499023438,59144500,2.417491647924308
2024-01-09 00:00:00-05:00,AAPL,183.02335798455337,184.24735728099782,181.83915700040632,184.23741149902344,42841800,-0.22634245760096983
2024-01-10 00:00:00-05:00,AAPL,183.4512616231925,185.49125530087693,183.02335006640843,185.28228759765625,46792900,0.567135681147124
2024-01-11 00:00:00-05:00,AAPL,185.63057672110963,186.13810009590225,182.7248140769861,184.68521118164062,49128400,-0.322252290684244
2024-01-12 00:00:00-05:00,AAPL,185.1529124416028,185.82960518169298,184.2871587499394,185.0135955810547,40444700,0.17780763132739796
2024-01-16 00:00:00-05:00,AAPL,181.27193705900044,183.361690026594,180.04792262326768,182.73477172851562,65603000,-1.2317061594215195
2024-01-17 00:00:00-05:00,AAPL,180.3862988523529,182.03819468263436,179.42102646331548,181.78941345214844,47317400,-0.5173390195116645
2024-01-18 00:00:00-05:00,AAPL,185.18277784532793,188.21791164443712,184.9240508532924,187.7104034423828,78005800,3.257059846223065
2024-01-19 00:00:00-05:00,AAPL,188.4069897270921,191.01421197583775,187.89948151982946,190.62611389160156,68741000,1.5533025318512639
2024-01-22 00:00:00-05:00,AAPL,191.36250312836654,194.37773007418247,191.3226896328841,192.9447479248047,60133900,1.216325500147164
2024-01-23 00:00:00-05:00,AAPL,194.06924615918857,194.79568302432682,192.8850451968675,194.22845458984375,42355600,0.6653234559871768
2024-01-24 00:00:00-05:00,AAPL,194.4672860626603,195.42261254918643,193.39254945946814,193.55177307128906,53631300,-0.34839463660648606
2024-01-25 00:00:00-05:00,AAPL,194.26827279243787,195.31315691300077,192.1685587692801,193.223388671875,54822100,-0.16966230492402312
2024-01-26 00:00:00-05:00,AAPL,193.32290534776368,193.8105067973861,191.00426266727368,191.48191833496094,44594000,-0.9012730544082137
2024-01-29 00:00:00-05:00,AAPL,191.07392183626405,191.2629979920715,188.65577567784422,190.7952880859375,47145600,-0.35858751311562687
2024-01-30 00:00:00-05:00,AAPL,190.00914701951908,190.86495502370778,186.55606247111587,187.12327575683594,55859400,-1.9245822923297906
2024-01-31 00:00:00-05:00,AAPL,186.12815142243116,186.18787167030365,183.45127824224116,183.5010223388672,55467800,-1.9357578063542547
2024-01-02 00:00:00-05:00,MSFT,371.08504585690326,373.1099126361841,364.0476743294386,368.11724853515625,25258600,
2024-01-03 00:00:00-05:00,MSFT,366.27104850703563,370.48950306100176,365.77475973598075,367.8492431640625,23083500,-0.07280435028791388
2024-01-04 00:00:00-05:00,MSFT,367.9187319779621,370.3306881427504,364.4447105700396,365.208984375,20901500,-0.7177556670641128
2024-01-05 00:00:00-05:00,MSFT,366.2313927750323,369.298454212958,363.7797246604935,365.02044677734375,20987000,-0.05162457817923238
2024-01-08 00:00:00-05:00,MSFT,366.5588972016775,372.41512930069973,366.2710715059576,371.9089050292969,23134000,1.8871431210961687
