Action_Cash,Action_AAPL,Action_V,Action_SNE,Action_ADBE,Action_BABA,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1
0.16665612,0.16662663,0.16678119,0.16664936,0.1666065,0.16668023,1.0,1.0,1.0,1.0,1.10116009,1.10524362,1.09150812,1.10524362,1.10960557,1.11842227,1.09800464,1.11842227,1.11313225,1.11582367,1.10672854,1.11582367,1.1037587,1.11600928,1.09930394,1.11600928,1.11109049,1.11220418,1.09911833,1.11220418
0.16665609,0.16662674,0.1667817,0.16664882,0.16660672,0.16667996,1.0,1.0,1.0,1.0,1.10960557,1.11842227,1.09800464,1.11842227,1.11313225,1.11582367,1.10672854,1.11582367,1.1037587,1.11600928,1.09930394,1.11600928,1.11109049,1.11220418,1.09911833,1.11220418,1.13243619,1.13364269,1.11517401,1.13364269
0.16665646,0.16662711,0.16678105,0.16664901,0.16660666,0.16667977,1.0,1.0,1.0,1.0,1.11313225,1.11582367,1.10672854,1.11582367,1.1037587,1.11600928,1.09930394,1.11600928,1.11109049,1.11220418,1.09911833,1.11220418,1.13243619,1.13364269,1.11517401,1.13364269,1.15897912,1.15935035,1.13689095,1.15935035
0.1666568,0.16662678,0.16678049,0.16664976,0.16660652,0.1666797,1.0,1.0,1.0,1.0,1.1037587,1.11600928,1.09930394,1.11600928,1.11109049,1.11220418,1.09911833,1.11220418,1.13243619,1.13364269,1.11517401,1.13364269,1.15897912,1.15935035,1.13689095,1.15935035,1.17364269,1.18310905,1.16538283,1.18310905
0.16665672,0.1666263,0.16678034,0.16665035,0.16660696,0.16667934,1.0,1.0,1.0,1.0,1.11109049,1.11220418,1.09911833,1.11220418,1.13243619,1.13364269,1.11517401,1.13364269,1.15897912,1.15935035,1.13689095,1.15935035,1.17364269,1.18310905,1.16538283,1.18310905,1.17939675,1.1812529,1.16612529,1.1812529
0.16665642,0.16662581,0.1667816,0.16664998,0.16660742,0.16667871,1.0,1.0,1.0,1.0,1.13243619,1.13364269,1.11517401,1.13364269,1.15897912,1.15935035,1.13689095,1.15935035,1.17364269,1.18310905,1.16538283,1.18310905,1.17939675,1.1812529,1.16612529,1.1812529,1.18635731,1.19610209,1.17791183,1.19610209
0.16665615,0.16662566,0.16678235,0.1666491,0.16660808,0.16667865,1.0,1.0,1.0,1.0,1.15897912,1.15935035,1.13689095,1.15935035,1.17364269,1.18310905,1.16538283,1.18310905,1.17939675,1.1812529,1.16612529,1.1812529,1.18635731,1.19610209,1.17791183,1.19610209,1.19461717,1.19517401,1.18283063,1.19517401
0.16665605,0.1666256,0.16678262,0.16664872,0.16660821,0.16667879,1.0,1.0,1.0,1.0,1.17364269,1.18310905,1.16538283,1.18310905,1.17939675,1.1812529,1.16612529,1.1812529,1.18635731,1.19610209,1.17791183,1.19610209,1.19461717,1.19517401,1.18283063,1.19517401,1.19211137,1.1974942,1.19099768,1.1974942
0.166656,0.16662554,0.16678289,0.16664873,0.16660823,0.16667861,1.0,1.0,1.0,1.0,1.17939675,1.1812529,1.16612529,1.1812529,1.18635731,1.19610209,1.17791183,1.19610209,1.19461717,1.19517401,1.18283063,1.19517401,1.19211137,1.1974942,1.19099768,1.1974942,1.20185615,1.20185615,1.18839907,1.20185615
0.16665587,0.16662517,0.1667841,0.16664863,0.16660741,0.16667883,1.0,1.0,1.0,1.0,1.18635731,1.19610209,1.17791183,1.19610209,1.19461717,1.19517401,1.18283063,1.19517401,1.19211137,1.1974942,1.19099768,1.1974942,1.20185615,1.20185615,1.18839907,1.20185615,1.23433875,1.23433875,1.20334107,1.23433875
0.16665618,0.1666253,0.16678402,0.16664854,0.16660774,0.16667826,1.0,1.0,1.0,1.0,1.19461717,1.19517401,1.18283063,1.19517401,1.19211137,1.1974942,1.19099768,1.1974942,1.20185615,1.20185615,1.18839907,1.20185615,1.23433875,1.23433875,1.20334107,1.23433875,1.22663573,1.23990719,1.21735499,1.23990719
0.16665606,0.1666251,0.16678366,0.16664898,0.16660793,0.16667823,1.0,1.0,1.0,1.0,1.19211137,1.1974942,1.19099768,1.1974942,1.20185615,1.20185615,1.18839907,1.20185615,1.23433875,1.23433875,1.20334107,1.23433875,1.22663573,1.23990719,1.21735499,1.23990719,1.19526682,1.22134571,1.18932715,1.22134571
0.16665553,0.16662431,0.16678506,0.1666482,0.16660836,0.16667856,1.0,1.0,1.0,1.0,1.20185615,1.20185615,1.18839907,1.20185615,1.23433875,1.23433875,1.20334107,1.23433875,1.22663573,1.23990719,1.21735499,1.23990719,1.19526682,1.22134571,1.18932715,1.22134571,1.21030162,1.21457077,1.1750348,1.21457077
0.16665535,0.16662459,0.16678523,0.16664615,0.16660976,0.16667895,1.0,1.0,1.0,1.0,1.23433875,1.23433875,1.20334107,1.23433875,1.22663573,1.23990719,1.21735499,1.23990719,1.19526682,1.22134571,1.18932715,1.22134571,1.21030162,1.21457077,1.1750348,1.21457077,1.19220418,1.21178654,1.19016241,1.21178654
0.1666554,0.16662532,0.16678448,0.16664666,0.16660927,0.16667883,1.0,1.0,1.0,1.0,1.22663573,1.23990719,1.21735499,1.23990719,1.19526682,1.22134571,1.18932715,1.22134571,1.21030162,1.21457077,1.1750348,1.21457077,1.19220418,1.21178654,1.19016241,1.21178654,1.19805104,1.20909513,1.19071926,1.20909513
0.16665575,0.16662505,0.166784,0.1666476,0.16660878,0.1666788,1.0,1.0,1.0,1.0,1.19526682,1.22134571,1.18932715,1.22134571,1.21030162,1.21457077,1.1750348,1.21457077,1.19220418,1.21178654,1.19016241,1.21178654,1.19805104,1.20909513,1.19071926,1.20909513,1.20055684,1.20204176,1.1887703,1.20204176
0.16665584,0.16662543,0.16678363,0.16664737,0.16660902,0.16667876,1.0,1.0,1.0,1.0,1.21030162,1.21457077,1.1750348,1.21457077,1.19220418,1.21178654,1.19016241,1.21178654,1.19805104,1.20909513,1.19071926,1.20909513,1.20055684,1.20204176,1.1887703,1.20204176,1.19294664,1.20241299,1.19090487,1.20241299
0.16665569,0.16662513,0.1667836,0.166648,0.16660862,0.16667892,1.0,1.0,1.0,1.0,1.19220418,1.21178654,1.19016241,1.21178654,1.19805104,1.20909513,1.19071926,1.20909513,1.20055684,1.20204176,1.1887703,1.20204176,1.19294664,1.20241299,1.19090487,1.20241299,1.17317865,1.19489559,1.16714617,1.19489559
0.16665557,0.16662505,0.16678414,0.16664767,0.16660866,0.166679,1.0,1.0,1.0,1.0,1.19805104,1.20909513,1.19071926,1.20909513,1.20055684,1.20204176,1.1887703,1.20204176,1.19294664,1.20241299,1.19090487,1.20241299,1.17317865,1.19489559,1.16714617,1.19489559,1.174942,1.20064965,1.17178654,1.20064965
0.16665556,0.16662516,0.16678393,0.16664754,0.1666089,0.1666789,1.0,1.0,1.0,1.0,1.20055684,1.20204176,1.1887703,1.20204176,1.19294664,1.20241299,1.19090487,1.20241299,1.17317865,1.19489559,1.16714617,1.19489559,1.174942,1.20064965,1.17178654,1.20064965,1.1799536,1.2025058,1.16064965,1.2025058
0.1666557,0.16662526,0.16678317,0.16664787,0.16660868,0.16667925,1.0,1.0,1.0,1.0,1.19294664,1.20241299,1.19090487,1.20241299,1.17317865,1.19489559,1.16714617,1.19489559,1.174942,1.20064965,1.17178654,1.20064965,1.1799536,1.2025058,1.16064965,1.2025058,1.15554524,1.18069606,1.14895592,1.18069606
0.16665539,0.16662496,0.1667834,0.16664822,0.16660836,0.16667964,1.0,1.0,1.0,1.0,1.17317865,1.19489559,1.16714617,1.19489559,1.174942,1.20064965,1.17178654,1.20064965,1.1799536,1.2025058,1.16064965,1.2025058,1.15554524,1.18069606,1.14895592,1.18069606,1.13447796,1.15795824,1.13327146,1.15795824
0.16665533,0.16662528,0.16678403,0.16664734,0.16660857,0.16667941,1.0,1.0,1.0,1.0,1.174942,1.20064965,1.17178654,1.20064965,1.1799536,1.2025058,1.16064965,1.2025058,1.15554524,1.18069606,1.14895592,1.18069606,1.13447796,1.15795824,1.13327146,1.15795824,1.1549884,1.15916473,1.12881671,1.15916473
0.16665569,0.16662583,0.16678342,0.16664693,0.16660878,0.1666793,1.0,1.0,1.0,1.0,1.1799536,1.2025058,1.16064965,1.2025058,1.15554524,1.18069606,1.14895592,1.18069606,1.13447796,1.15795824,1.13327146,1.15795824,1.1549884,1.15916473,1.12881671,1.15916473,1.14700696,1.1638051,1.13763341,1.1638051
0.16665588,0.16662614,0.16678235,0.16664822,0.16660787,0.16667952,1.0,1.0,1.0,1.0,1.15554524,1.18069606,1.14895592,1.18069606,1.13447796,1.15795824,1.13327146,1.15795824,1.1549884,1.15916473,1.12881671,1.15916473,1.14700696,1.1638051,1.13763341,1.1638051,1.15962877,1.15962877,1.14032483,1.15962877
0.16665609,0.16662598,0.16678235,0.16664895,0.1666076,0.16667901,1.0,1.0,1.0,1.0,1.13447796,1.15795824,1.13327146,1.15795824,1.1549884,1.15916473,1.12881671,1.15916473,1.14700696,1.1638051,1.13763341,1.1638051,1.15962877,1.15962877,1.14032483,1.15962877,1.17902552,1.18162413,1.16612529,1.18162413
0.16665639,0.16662623,0.16678205,0.16664878,0.16660772,0.16667886,1.0,1.0,1.0,1.0,1.1549884,1.15916473,1.12881671,1.15916473,1.14700696,1.1638051,1.13763341,1.1638051,1.15962877,1.15962877,1.14032483,1.15962877,1.17902552,1.18162413,1.16612529,1.18162413,1.19229698,1.1987007,1.17280742,1.1987007
0.1666564,0.16662583,0.16678193,0.16664933,0.16660766,0.16667892,1.0,1.0,1.0,1.0,1.14700696,1.1638051,1.13763341,1.1638051,1.15962877,1.15962877,1.14032483,1.15962877,1.17902552,1.18162413,1.16612529,1.18162413,1.19229698,1.1987007,1.17280742,1.1987007,1.18329466,1.19953596,1.18236659,1.19953596
