,Wealth,Return,Weight,Price
58,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.958,NaN"
59,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.002,NaN"
60,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.058,NaN"
61,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.984,NaN"
62,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.964,NaN"
63,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.013,NaN"
64,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.997,NaN"
65,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.002,NaN"
66,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.026,NaN"
67,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.005,NaN"
68,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.038,NaN"
69,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.954,NaN"
70,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.943,NaN"
71,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.963,NaN"
72,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.003,NaN"
73,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.982,NaN"
74,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.984,NaN"
75,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.029,NaN"
76,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.978,NaN"
77,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.989,NaN"
78,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.954,NaN"
79,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.996,NaN"
