Action_Cash,Action_TSM,Action_MRVL,Action_NVDA,Action_RTX,Action_GM,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_TSM_close_L1,State_TSM_high_L1,State_TSM_low_L1,State_TSM_open_L1,State_MRVL_close_L1,State_MRVL_high_L1,State_MRVL_low_L1,State_MRVL_open_L1,State_NVDA_close_L1,State_NVDA_high_L1,State_NVDA_low_L1,State_NVDA_open_L1,State_RTX_close_L1,State_RTX_high_L1,State_RTX_low_L1,State_RTX_open_L1,State_GM_close_L1,State_GM_high_L1,State_GM_low_L1,State_GM_open_L1,Wealth,Return,Price_Cash,Price_XOM,Price_CVX,Price_OKE,Price_VLO,Price_SHEL
0.16664392,0.16665861,0.16660774,0.16654152,0.16689895,0.16664934,1.0,1.0,1.0,1.0,0.9924016,0.9924016,0.980351,0.9924016,1.00586995,1.01295856,1.00179403,1.01295856,1.0026801,1.01118639,0.99523705,1.01118639,1.01083212,1.01171818,0.99151572,1.01171818,0.99824973,1.01473063,0.99612311,1.01473063,9447.53451713681,-0.0038079099115918,1.000,0.977,1.000,1.000,1.000,1.000
0.16663006,0.16667452,0.1666088,0.16653277,0.16689663,0.16665721,1.0,1.0,1.0,1.0,1.00586995,1.01295856,1.00179403,1.01295856,1.0026801,1.01118639,0.99523705,1.01118639,1.01083212,1.01171818,0.99151572,1.01171818,0.99824973,1.01473063,0.99612311,1.01473063,0.99931312,0.99966755,0.98637646,0.99966755,9461.10871396659,0.0014357665958076,1.000,1.009,1.000,1.000,1.000,1.000
0.16662458,0.16667943,0.16660085,0.16652633,0.16691111,0.16665766,1.0,1.0,1.0,1.0,1.0026801,1.01118639,0.99523705,1.01118639,1.01083212,1.01171818,0.99151572,1.01171818,0.99824973,1.01473063,0.99612311,1.01473063,0.99931312,0.99966755,0.98637646,0.99966755,1.00604708,1.00994582,0.9957686,1.00994582,9472.366716625122,0.001189216847862,1.000,1.007,1.000,1.000,1.000,1.000
0.16662905,0.16667306,0.16659226,0.16651732,0.16694432,0.16664396,1.0,1.0,1.0,1.0,1.01083212,1.01171818,0.99151572,1.01171818,0.99824973,1.01473063,0.99612311,1.01473063,0.99931312,0.99966755,0.98637646,0.99966755,1.00604708,1.00994582,0.9957686,1.00994582,1.00693319,1.01845217,1.00586988,1.01845217,9430.166888821475,-0.0044649991152726,1.000,0.974,1.000,1.000,1.000,1.000
0.1666173,0.1666956,0.16659383,0.16650988,0.16693744,0.16664588,1.0,1.0,1.0,1.0,0.99824973,1.01473063,0.99612311,1.01473063,0.99931312,0.99966755,0.98637646,0.99966755,1.00604708,1.00994582,0.9957686,1.00994582,1.00693319,1.01845217,1.00586988,1.01845217,1.03883192,1.04680659,1.02695858,1.04680659,9426.364966649522,-0.0004032472410743,1.000,0.998,1.000,1.000,1.000,1.000
0.16658118,0.16675167,0.16660734,0.16650385,0.16688624,0.16666968,1.0,1.0,1.0,1.0,0.99931312,0.99966755,0.98637646,0.99966755,1.00604708,1.00994582,0.9957686,1.00994582,1.00693319,1.01845217,1.00586988,1.01845217,1.03883192,1.04680659,1.02695858,1.04680659,1.09660391,1.10103427,1.07321159,1.10103427,9359.31269001255,-0.0071386896566482,1.000,0.959,1.000,1.000,1.000,1.000
0.16652833,0.16683534,0.16663058,0.16649966,0.16679473,0.16671136,1.0,1.0,1.0,1.0,1.00604708,1.00994582,0.9957686,1.00994582,1.00693319,1.01845217,1.00586988,1.01845217,1.03883192,1.04680659,1.02695858,1.04680659,1.09660391,1.10103427,1.07321159,1.10103427,1.07586994,1.08986991,1.07533832,1.08986991,9410.031337254808,0.0054044265603495,1.000,1.031,1.000,1.000,1.000,1.000
0.16647382,0.16692592,0.16665208,0.16650076,0.16669305,0.16675436,1.0,1.0,1.0,1.0,1.00693319,1.01845217,1.00586988,1.01845217,1.03883192,1.04680659,1.02695858,1.04680659,1.09660391,1.10103427,1.07321159,1.10103427,1.07586994,1.08986991,1.07533832,1.08986991,1.10918607,1.11184432,1.08986968,1.11184432,9409.868023041105,-1.7355482150186332e-05,1.000,1.000,1.000,1.000,1.000,1.000
0.1664323,0.16698286,0.16666721,0.16650207,0.16663092,0.16678458,1.0,1.0,1.0,1.0,1.03883192,1.04680659,1.02695858,1.04680659,1.09660391,1.10103427,1.07321159,1.10103427,1.07586994,1.08986991,1.07533832,1.08986991,1.10918607,1.11184432,1.08986968,1.11184432,1.1479961,1.15136322,1.11450256,1.15136322,9464.966470275069,0.0058383138416504,1.000,1.033,1.000,1.000,1.000,1.000
0.16638494,0.16705887,0.166682,0.1664914,0.16656603,0.16681674,1.0,1.0,1.0,1.0,1.09660391,1.10103427,1.07321159,1.10103427,1.07586994,1.08986991,1.07533832,1.08986991,1.10918607,1.11184432,1.08986968,1.11184432,1.1479961,1.15136322,1.11450256,1.15136322,1.13151523,1.14409745,1.11981907,1.14409745,9486.16604070278,0.0022372889069539,1.000,1.013,1.000,1.000,1.000,1.000
