,Wealth,Return,Weight,Price
0,9986.08244941222,-0.0013927244493903803,"0.09,0.30,0.11,0.22,0.12,0.17","1.000,1.003,1.000,1.000,1.000,1.000"
1,9962.13024082169,-0.0024014402165581754,"0.09,0.30,0.11,0.22,0.12,0.17","1.000,0.992,1.000,1.000,1.000,1.000"
2,9994.284352021203,0.0032224364626422287,"0.09,0.30,0.11,0.22,0.12,0.17","1.000,1.011,1.000,1.000,1.000,1.000"
3,10001.95018033431,0.0007667272231924944,"0.09,0.30,0.11,0.22,0.12,0.17","1.000,1.003,1.000,1.000,1.000,1.000"
4,10001.933364953204,-1.6812116574775861e-06,"0.09,0.30,0.11,0.22,0.12,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
5,10006.300853358181,0.0004365691071677157,"0.09,0.30,0.11,0.22,0.12,0.17","1.000,1.001,1.000,1.000,1.000,1.000"
6,10040.174957621959,0.003379560260273082,"0.09,0.30,0.11,0.22,0.12,0.17","1.000,1.011,1.000,1.000,1.000,1.000"
7,10044.758515845137,0.0004564175737801532,"0.09,0.30,0.11,0.22,0.12,0.17","1.000,1.002,1.000,1.000,1.000,1.000"
8,10047.40839198565,0.00026377206281761565,"0.09,0.30,0.11,0.22,0.12,0.17","1.000,1.001,1.000,1.000,1.000,1.000"
9,10103.21690104493,0.005539148382887501,"0.09,0.30,0.11,0.22,0.12,0.17","1.000,1.019,1.000,1.000,1.000,1.000"
10,10103.091251115487,-1.2436703280884822e-05,"0.09,0.30,0.11,0.22,0.12,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
11,10087.664061735077,-0.0015281441574158735,"0.09,0.30,0.11,0.22,0.12,0.17","1.000,1.000,0.986,1.000,1.000,1.000"
12,10134.494881861385,0.004631642345926322,"0.09,0.30,0.11,0.22,0.12,0.17","1.000,1.000,1.042,1.000,1.000,1.000"
13,10089.215301690969,-0.004477878234934901,"0.09,0.30,0.11,0.22,0.12,0.17","1.000,1.000,0.959,1.000,1.000,1.000"
14,10089.112318036287,-1.0207352821609687e-05,"0.09,0.30,0.11,0.22,0.12,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
15,10120.36089738858,0.00309247093407007,"0.09,0.30,0.11,0.22,0.12,0.17","1.000,1.000,1.028,1.000,1.000,1.000"
