Action_Cash,Action_BMW.DE,Action_MBG.DE,Action_FORD,Action_GM,Action_012330.KS,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_BMW.DE_close_L1,State_BMW.DE_high_L1,State_BMW.DE_low_L1,State_BMW.DE_open_L1,State_MBG.DE_close_L1,State_MBG.DE_high_L1,State_MBG.DE_low_L1,State_MBG.DE_open_L1,State_FORD_close_L1,State_FORD_high_L1,State_FORD_low_L1,State_FORD_open_L1,State_GM_close_L1,State_GM_high_L1,State_GM_low_L1,State_GM_open_L1,State_012330.KS_close_L1,State_012330.KS_high_L1,State_012330.KS_low_L1,State_012330.KS_open_L1,Wealth,Return,Price_Cash,Price_BMW.DE,Price_MBG.DE,Price_FORD,Price_GM,Price_012330.KS
0.16921107,0.16560693,0.16672958,0.16710927,0.16685857,0.16448463,1.0,1.0,1.0,1.0,1.4487295,1.45617248,1.43561565,1.45617248,1.42834955,1.45865323,1.42072932,1.45865323,1.42551401,1.43331135,1.41612166,1.43331135,1.40442557,1.41346356,1.3945016,1.41346356,1.44518518,1.44607117,1.41753961,1.44607117,10670.616222131795,-0.0121402606299821,1.000,0.988,1.000,1.000,1.000,1.000
0.16941667,0.16549213,0.16667973,0.1671596,0.16697392,0.16427802,1.0,1.0,1.0,1.0,1.42834955,1.45865323,1.42072932,1.45865323,1.42551401,1.43331135,1.41612166,1.43331135,1.40442557,1.41346356,1.3945016,1.41346356,1.44518518,1.44607117,1.41753961,1.44607117,1.45617223,1.46574184,1.41559007,1.46574184,10371.912032190528,-0.0283924300601227,1.000,0.972,1.000,1.000,1.000,1.000
0.1695953,0.16534892,0.16663311,0.16725874,0.16711651,0.16404746,1.0,1.0,1.0,1.0,1.42551401,1.43331135,1.41612166,1.43331135,1.40442557,1.41346356,1.3945016,1.41346356,1.44518518,1.44607117,1.41753961,1.44607117,1.45617223,1.46574184,1.41559007,1.46574184,1.43862812,1.44979259,1.38900798,1.44979259,10162.18041887128,-0.0204283590811031,1.000,0.980,1.000,1.000,1.000,1.000
0.16979682,0.16520225,0.1665854,0.16735516,0.16724627,0.1638141,1.0,1.0,1.0,1.0,1.40442557,1.41346356,1.3945016,1.41346356,1.44518518,1.44607117,1.41753961,1.44607117,1.45617223,1.46574184,1.41559007,1.46574184,1.43862812,1.44979259,1.38900798,1.44979259,1.3984001,1.44376698,1.37181792,1.44376698,10435.032406906705,0.0264956188396123,1.000,1.027,1.000,1.000,1.000,1.000
0.17008962,0.16501828,0.16656065,0.16736765,0.16737823,0.16358554,1.0,1.0,1.0,1.0,1.44518518,1.44607117,1.41753961,1.44607117,1.45617223,1.46574184,1.41559007,1.46574184,1.43862812,1.44979259,1.38900798,1.44979259,1.3984001,1.44376698,1.37181792,1.44376698,1.37022332,1.40265363,1.3684512,1.40265363,10368.639367505297,-0.0063828410224136,1.000,0.994,1.000,1.000,1.000,1.000
0.17030714,0.16480134,0.16660625,0.16731785,0.16749789,0.16346954,1.0,1.0,1.0,1.0,1.45617223,1.46574184,1.41559007,1.46574184,1.43862812,1.44979259,1.38900798,1.44979259,1.3984001,1.44376698,1.37181792,1.44376698,1.37022332,1.40265363,1.3684512,1.40265363,1.40708378,1.41240013,1.39202057,1.41240013,10357.961994477144,-0.0010303062992532,1.000,0.999,1.000,1.000,1.000,1.000
0.17048146,0.16463143,0.16665573,0.16720201,0.16756862,0.16346076,1.0,1.0,1.0,1.0,1.43862812,1.44979259,1.38900798,1.44979259,1.3984001,1.44376698,1.37181792,1.44376698,1.37022332,1.40265363,1.3684512,1.40265363,1.40708378,1.41240013,1.39202057,1.41240013,1.3982232,1.43951423,1.3957422,1.43951423,10578.708628876864,0.02108786241852,1.000,1.021,1.000,1.000,1.000,1.000
0.17058931,0.16444342,0.16674636,0.16713497,0.16768105,0.16340491,1.0,1.0,1.0,1.0,1.3984001,1.44376698,1.37181792,1.44376698,1.37022332,1.40265363,1.3684512,1.40265363,1.40708378,1.41240013,1.39202057,1.41240013,1.3982232,1.43951423,1.3957422,1.43951423,1.39680535,1.42303317,1.39290661,1.42303317,11281.218012761923,0.0642958588769012,1.000,1.066,1.000,1.000,1.000,1.000
0.17083508,0.16418105,0.16683526,0.16702044,0.1678179,0.16331029,1.0,1.0,1.0,1.0,1.37022332,1.40265363,1.3684512,1.40265363,1.40708378,1.41240013,1.39202057,1.41240013,1.3982232,1.43951423,1.3957422,1.43951423,1.39680535,1.42303317,1.39290661,1.42303317,1.42657717,1.43756452,1.41683031,1.43756452,10922.036021812368,-0.032356818274046,1.000,0.968,1.000,1.000,1.000,1.000
0.17112406,0.16393979,0.16681187,0.16691285,0.16797833,0.16323315,1.0,1.0,1.0,1.0,1.40708378,1.41240013,1.39202057,1.41240013,1.3982232,1.43951423,1.3957422,1.43951423,1.39680535,1.42303317,1.39290661,1.42303317,1.42657717,1.43756452,1.41683031,1.43756452,1.52138739,1.53804561,1.44217244,1.53804561,10816.417027881196,-0.0097173266920635,1.000,0.990,1.000,1.000,1.000,1.000
0.17157035,0.16366701,0.16675134,0.16673042,0.16816561,0.1631153,1.0,1.0,1.0,1.0,1.3982232,1.43951423,1.3957422,1.43951423,1.39680535,1.42303317,1.39290661,1.42303317,1.42657717,1.43756452,1.41683031,1.43756452,1.52138739,1.53804561,1.44217244,1.53804561,1.47318491,1.53272902,1.47159004,1.53272902,10594.308468897205,-0.0207481551098838,1.000,0.979,1.000,1.000,1.000,1.000
0.172191,0.16320282,0.16666307,0.16649559,0.1685843,0.16286327,1.0,1.0,1.0,1.0,1.39680535,1.42303317,1.39290661,1.42303317,1.42657717,1.43756452,1.41683031,1.43756452,1.52138739,1.53804561,1.44217244,1.53804561,1.47318491,1.53272902,1.47159004,1.53272902,1.45905918,1.46582805,1.43590228,1.46582805,10641.29157051609,0.0044249447336505,1.000,1.004,1.000,1.000,1.000,1.000
0.1728125,0.16264026,0.16658315,0.16627303,0.1691527,0.16253835,1.0,1.0,1.0,1.0,1.42657717,1.43756452,1.41683031,1.43756452,1.52138739,1.53804561,1.44217244,1.53804561,1.47318491,1.53272902,1.47159004,1.53272902,1.45905918,1.46582805,1.43590228,1.46582805,1.42913345,1.47562514,1.42699585,1.47562514,10626.650519064122,-0.0013768190361941,1.000,0.999,1.000,1.000,1.000,1.000
