,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1
65,1.0,1.0,1.0,1.0,1.09048524,1.09903298,1.08711794,1.0965291,0.73773677,0.74405051,0.73423992,0.73841671,0.96799909,0.96947956,0.9512584,0.96378545,1.11059579,1.11844452,1.10060649,1.1159472,0.83991284,0.84516791,0.83158165,0.83978467
283,1.0,1.0,1.0,1.0,0.8297358,0.83215334,0.80573303,0.81143153,0.81029626,0.81136474,0.78610976,0.79864012,0.76563034,0.77086892,0.74262612,0.75355882,0.764538,0.76703532,0.74812701,0.75561898,0.92091771,0.92527557,0.90207639,0.91322738
85,1.0,1.0,1.0,1.0,1.08668624,1.09549301,1.07770679,1.08444137,0.74375911,0.74696455,0.73142302,0.74074794,0.98815625,0.99646965,0.98098166,0.99134495,1.12415269,1.13307171,1.12272565,1.13164467,0.88041528,0.88438862,0.87118688,0.87862087
242,1.0,1.0,1.0,1.0,0.93774823,0.93982041,0.92557417,0.92617855,0.91986401,0.92268091,0.90849927,0.91714424,0.96572144,0.96902403,0.95342216,0.9685685,0.87834463,0.88191224,0.87120942,0.87370674,1.0069213,1.00820302,0.99410408,1.00076903
186,1.0,1.0,1.0,1.0,0.9564842,0.96157831,0.94171991,0.94871352,0.83380282,0.83836814,0.82068966,0.82370083,0.7280492,0.73772919,0.70834757,0.72281061,0.94505887,0.94719943,0.93756689,0.94220478,0.92578826,0.92719815,0.90899769,0.9107921
381,1.0,1.0,1.0,1.0,0.83638404,0.84329131,0.83612502,0.84104645,0.94550753,0.95560952,0.94550753,0.951627,0.91754925,0.93246783,0.91527161,0.93189842,1.05422761,1.06100606,1.04923296,1.06100606,0.99282235,0.99692387,0.98948987,0.99564214
159,1.0,1.0,1.0,1.0,0.94707304,0.94879986,0.90701088,0.92453808,0.75114133,0.7538611,0.72423507,0.73958232,0.7819155,0.7909122,0.74877577,0.78521808,0.89332858,0.8940421,0.86193364,0.88762041,0.90604973,0.9098949,0.87028967,0.88913099
12,1.0,1.0,1.0,1.0,0.9423243,0.97116215,0.94137455,0.9706441,0.69412336,0.70286547,0.69023798,0.69655172,1.17230384,1.17947842,1.14542763,1.17173443,0.82268998,0.82625758,0.81840885,0.82054941,0.80428095,0.81325301,0.79659062,0.81325301
35,1.0,1.0,1.0,1.0,1.11457434,1.1248489,1.10775341,1.11595579,0.77503643,0.77503643,0.76464303,0.76872268,0.95661086,0.96822685,0.95376381,0.96799909,1.00285408,1.00356761,0.99500535,0.99714592,0.89169444,0.89169444,0.8793899,0.88669572
28,1.0,1.0,1.0,1.0,1.10904852,1.11405629,1.10801243,1.10930755,0.75502671,0.75706654,0.74987858,0.75201554,0.98952283,1.00068329,0.98747295,0.98861178,0.9764538,0.98073493,0.96860507,0.97252943,0.86234299,0.86541912,0.85875417,0.86541912
