,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1
487,1.0,1.0,1.0,1.0,0.9782421,0.99292005,0.97124849,0.97815576,1.02146673,1.02224381,1.00553667,1.01622147,1.05306913,1.05785218,1.04430019,1.04828607,1.03888691,1.04495184,1.0371031,1.04316803,1.00615227,1.0129454,0.99871828,1.01243271
73,1.0,1.0,1.0,1.0,1.1248489,1.12787083,1.11578311,1.12666206,0.7434677,0.74997572,0.73666829,0.74220495,0.96310215,0.96788521,0.94294499,0.94385605,1.11808776,1.12486621,1.11237959,1.12201213,0.86490643,0.87387849,0.86272751,0.87323763
231,1.0,1.0,1.0,1.0,1.02080815,1.02400276,1.00897945,1.01467795,0.89091792,0.8945119,0.86410879,0.86663429,0.96093839,0.96424097,0.94078123,0.94260335,0.88476632,0.89083125,0.88012843,0.88762041,1.01345809,1.02114842,1.00435786,1.01230454
175,1.0,1.0,1.0,1.0,0.97953721,0.98687619,0.96589535,0.96883094,0.78921807,0.82515784,0.7592035,0.76289461,0.74877577,0.74877577,0.72896026,0.74478989,0.90652872,0.92436675,0.90296111,0.91901534,0.89451423,0.9075878,0.89348885,0.89489874
237,1.0,1.0,1.0,1.0,0.96131929,0.96693145,0.93938871,0.95898808,0.92821758,0.92918893,0.90927635,0.91704711,0.96378545,0.9685685,0.94522264,0.94863911,0.90046379,0.90224759,0.88369604,0.88655012,1.0235837,1.02512176,1.00166624,1.01832863
