Action_Cash,Action_TSM,Action_MRVL,Action_NVDA,Action_RTX,Action_GM,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_TSM_close_L1,State_TSM_high_L1,State_TSM_low_L1,State_TSM_open_L1,State_MRVL_close_L1,State_MRVL_high_L1,State_MRVL_low_L1,State_MRVL_open_L1,State_NVDA_close_L1,State_NVDA_high_L1,State_NVDA_low_L1,State_NVDA_open_L1,State_RTX_close_L1,State_RTX_high_L1,State_RTX_low_L1,State_RTX_open_L1,State_GM_close_L1,State_GM_high_L1,State_GM_low_L1,State_GM_open_L1
0.1666194,0.16669327,0.16664726,0.16666871,0.16668771,0.16668364,1.0,1.0,1.0,1.0,1.0022653,1.00435624,0.99146204,1.00435624,1.0092351,1.01324283,0.99616662,1.01324283,1.01097768,1.01550806,0.99808342,1.01550806,0.97926486,0.995644,0.97682542,0.995644,0.99355292,0.99407564,0.98170416,0.99407564
0.16661994,0.1666926,0.16664709,0.16666754,0.16668856,0.16668424,1.0,1.0,1.0,1.0,1.0092351,1.01324283,0.99616662,1.01324283,1.01097768,1.01550806,0.99808342,1.01550806,0.97926486,0.995644,0.97682542,0.995644,0.99355292,0.99407564,0.98170416,0.99407564,1.02212941,1.02631135,1.00731849,1.02631135
0.16661982,0.16669223,0.16664669,0.16666755,0.16668811,0.16668563,1.0,1.0,1.0,1.0,1.01097768,1.01550806,0.99808342,1.01550806,0.97926486,0.995644,0.97682542,0.995644,0.99355292,0.99407564,0.98170416,0.99407564,1.02212941,1.02631135,1.00731849,1.02631135,1.03903138,1.04112231,1.0263114,1.04112231
0.16661917,0.16669245,0.16664676,0.16666888,0.16668728,0.16668554,1.0,1.0,1.0,1.0,0.97926486,0.995644,0.97682542,0.995644,0.99355292,0.99407564,0.98170416,0.99407564,1.02212941,1.02631135,1.00731849,1.02631135,1.03903138,1.04112231,1.0263114,1.04112231,1.03380401,1.0402511,1.02352346,1.0402511
0.16661908,0.1666933,0.16664673,0.16666943,0.16668737,0.16668408,1.0,1.0,1.0,1.0,0.99355292,0.99407564,0.98170416,0.99407564,1.02212941,1.02631135,1.00731849,1.02631135,1.03903138,1.04112231,1.0263114,1.04112231,1.03380401,1.0402511,1.02352346,1.0402511,1.0139399,1.03101604,1.00836402,1.03101604
0.16661894,0.1666933,0.16664751,0.16667011,0.16668801,0.16668218,1.0,1.0,1.0,1.0,1.02212941,1.02631135,1.00731849,1.02631135,1.03903138,1.04112231,1.0263114,1.04112231,1.03380401,1.0402511,1.02352346,1.0402511,1.0139399,1.03101604,1.00836402,1.03101604,0.9789164,0.98553778,0.96933286,0.98553778
0.16661969,0.16669367,0.16664761,0.16666846,0.16668841,0.16668223,1.0,1.0,1.0,1.0,1.03903138,1.04112231,1.0263114,1.04112231,1.03380401,1.0402511,1.02352346,1.0402511,1.0139399,1.03101604,1.00836402,1.03101604,0.9789164,0.98553778,0.96933286,0.98553778,1.00435641,1.00958379,0.99320465,1.00958379
0.16661991,0.1666926,0.16664734,0.16666794,0.16668865,0.16668352,1.0,1.0,1.0,1.0,1.03380401,1.0402511,1.02352346,1.0402511,1.0139399,1.03101604,1.00836402,1.03101604,0.9789164,0.98553778,0.96933286,0.98553778,1.00435641,1.00958379,0.99320465,1.00958379,0.98414362,0.99390145,0.97246915,0.99390145
0.1666199,0.16669282,0.16664723,0.16666839,0.16668731,0.1666844,1.0,1.0,1.0,1.0,1.0139399,1.03101604,1.00836402,1.03101604,0.9789164,0.98553778,0.96933286,0.98553778,1.00435641,1.00958379,0.99320465,1.00958379,0.98414362,0.99390145,0.97246915,0.99390145,0.96863571,0.98710585,0.96741599,0.98710585
0.16661929,0.16669284,0.16664773,0.16666873,0.16668776,0.16668363,1.0,1.0,1.0,1.0,0.9789164,0.98553778,0.96933286,0.98553778,1.00435641,1.00958379,0.99320465,1.00958379,0.98414362,0.99390145,0.97246915,0.99390145,0.96863571,0.98710585,0.96741599,0.98710585,0.94302151,0.95295355,0.92664237,0.95295355
