State,Action
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662192 0.16673781 0.16662166 0.16669253 0.16664729 0.16667879]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662206 0.16673724 0.16662236 0.16669235 0.16664727 0.16667874]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662219 0.16673738 0.16662206 0.16669258 0.16664724 0.1666786 ]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.1666219 0.16673751 0.16662174 0.16669294 0.16664752 0.16667844]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.166622  0.16673729 0.16662219 0.16669264 0.16664736 0.16667849]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662218 0.1667374 0.16662216 0.16669247 0.16664708 0.16667879]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662212 0.16673729 0.16662212 0.16669266 0.16664718 0.16667855]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662218 0.16673708 0.16662243 0.16669254 0.16664712 0.16667858]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662207 0.1667375 0.16662182 0.16669284 0.16664727 0.16667849]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662204 0.16673724 0.16662222 0.16669272 0.16664733 0.16667847]]
