,Action_Cash,Action_AAPL,Action_ADBE,Action_BABA,Action_SNE,Action_V
204,0.06548756,0.07125809,0.21328928,0.07756419,0.11431971,0.45808116
168,0.3791934,0.06466583,0.06622553,0.20228602,0.12803893,0.15959027
373,0.08780625,0.2822293,0.16509874,0.04703048,0.05086764,0.36696762
346,0.2516845,0.09080601,0.15315925,0.23307444,0.17427024,0.09700559
340,0.13787465,0.20196947,0.32511446,0.18064436,0.07754605,0.076851
109,0.10787531,0.21300754,0.11788258,0.0653521,0.20109764,0.2947848
442,0.03837888,0.1870098,0.16812363,0.11017188,0.2848679,0.21144785
145,0.04273945,0.03788966,0.37681177,0.22022429,0.26505196,0.05728288
92,0.21238603,0.09077322,0.1372872,0.27652732,0.05198525,0.231041
152,0.15414684,0.17652915,0.21041706,0.14882003,0.04520678,0.26488012
356,0.08273635,0.22046685,0.2641289,0.04128164,0.0914109,0.29997534
392,0.0640671,0.48647678,0.13350731,0.1345476,0.05437291,0.12702832
83,0.09661361,0.23345968,0.12105858,0.0340574,0.3888674,0.12594333
434,0.06192482,0.07238487,0.47594616,0.24427815,0.06952155,0.07594448
165,0.13272883,0.26049754,0.24622075,0.0373225,0.12508407,0.19814622
291,0.07300781,0.10086996,0.2749049,0.20140277,0.08295611,0.26685843
199,0.20358288,0.01874657,0.08404133,0.26753917,0.17213362,0.25395635
222,0.0552955,0.04561944,0.5800248,0.06969238,0.11274619,0.13662173
74,0.18991253,0.18017384,0.13905032,0.16917427,0.20858307,0.11310601
307,0.18326396,0.08229358,0.19938469,0.2544526,0.11710594,0.16349928
210,0.30854326,0.2661992,0.11002781,0.12560593,0.04527904,0.14434479
244,0.07746156,0.25655663,0.32279012,0.13723782,0.12257229,0.08338155
119,0.05804323,0.27334008,0.11212492,0.18392986,0.22613326,0.1464287
281,0.0327903,0.2921221,0.23670256,0.10642397,0.26606822,0.06589285
298,0.2134073,0.0429217,0.08838316,0.29785973,0.10136848,0.2560596
249,0.36539933,0.23011619,0.04954358,0.06913885,0.03786905,0.24793291
352,0.08644084,0.18020561,0.12741837,0.11468464,0.11409276,0.37715778
397,0.25240725,0.09290766,0.10789862,0.40819335,0.081356,0.05723724
335,0.2328112,0.12534451,0.18093607,0.03323791,0.26361462,0.16405568
250,0.07985163,0.10775609,0.06936558,0.23532069,0.05115518,0.45655084
228,0.08011854,0.17779136,0.16175088,0.0537862,0.28042293,0.2461301
380,0.05921986,0.2178372,0.10215214,0.3461443,0.16639678,0.1082497
440,0.0594501,0.28708678,0.10556068,0.191364,0.08807723,0.26846114
36,0.07927264,0.23939241,0.1586235,0.1598376,0.12120248,0.24167137
196,0.09945922,0.04603423,0.38636526,0.24188557,0.11597793,0.1102778
139,0.19493721,0.10561975,0.46506736,0.05313149,0.03034229,0.15090193
362,0.07642552,0.16359875,0.09101614,0.28161684,0.07011753,0.3172252
238,0.58527505,0.01904809,0.0772345,0.06722445,0.15012532,0.10109262
284,0.0873422,0.16871141,0.13611174,0.2171217,0.31572652,0.07498644
314,0.07493806,0.13893974,0.21449968,0.06796187,0.12681933,0.37684128
59,0.21635346,0.20301543,0.13869716,0.07323489,0.02533201,0.34336698
111,0.11089198,0.3401356,0.15928489,0.06486618,0.21854514,0.10627625
463,0.05068501,0.07542063,0.10029612,0.16470869,0.55290174,0.05598783
426,0.07619864,0.15556614,0.16124524,0.15397584,0.02833087,0.42468318
6,0.10853428,0.17888138,0.07130726,0.368807,0.20346001,0.06901009
358,0.34136668,0.04732655,0.2594419,0.06376806,0.02093537,0.26716146
382,0.21452673,0.03267164,0.0231579,0.311206,0.32009518,0.09834254
395,0.05232702,0.18759461,0.03106337,0.29639468,0.26387787,0.16874242
158,0.18330555,0.19855611,0.15248653,0.16382134,0.0847486,0.21708186
150,0.3460299,0.14046213,0.2066865,0.13544163,0.10695278,0.06442707
177,0.3017932,0.18636398,0.12589543,0.09920701,0.19113934,0.0956011
391,0.20914814,0.10340662,0.12412255,0.18054266,0.35874256,0.02403752
184,0.20998208,0.06702046,0.13147539,0.3389164,0.1173728,0.13523276
473,0.09781422,0.3670604,0.24050735,0.07446972,0.13749258,0.08265579
10,0.30185857,0.06682616,0.09648407,0.25699025,0.09381599,0.18402492
378,0.03048863,0.10093608,0.1966356,0.5075307,0.04732552,0.11708355
103,0.3085064,0.2812281,0.06002776,0.09229388,0.11804564,0.13989824
81,0.09917539,0.06849199,0.11629193,0.19485226,0.0718641,0.44932434
38,0.08201841,0.27692285,0.12857859,0.09104214,0.07216708,0.34927088
465,0.07915141,0.38428158,0.15424421,0.07680913,0.08135559,0.22415815
167,0.09398081,0.09521754,0.21658386,0.14068934,0.21013805,0.24339043
467,0.09284775,0.12443526,0.08306038,0.14473538,0.08472847,0.47019276
399,0.10475808,0.42571,0.20075676,0.09987627,0.06862235,0.10027656
420,0.24336925,0.22531717,0.05971027,0.18593097,0.08453733,0.20113496
198,0.13587411,0.04342665,0.07869839,0.2487025,0.11527988,0.3780185
296,0.14983517,0.08869399,0.10771661,0.24033469,0.10996658,0.303453
475,0.14297166,0.25893214,0.17575961,0.18571031,0.13675122,0.09987506
253,0.04307868,0.28047016,0.20166068,0.2202588,0.11234617,0.14218551
194,0.31423992,0.05143309,0.17595913,0.09942553,0.22847298,0.13046928
89,0.11779576,0.16001126,0.11965706,0.44100636,0.05173343,0.10979602
146,0.19752339,0.20982647,0.15288915,0.12319621,0.14330426,0.17326055
163,0.03756141,0.02880492,0.05667354,0.09575073,0.6227677,0.15844172
414,0.1869285,0.17792666,0.19266985,0.19287218,0.11037072,0.13923207
390,0.09620875,0.02028168,0.19255488,0.45609257,0.14544463,0.08941746
147,0.10748085,0.1704381,0.45126393,0.03620785,0.11809909,0.11651017
305,0.10537326,0.07911278,0.11830242,0.40095073,0.03051919,0.26574165
286,0.07548489,0.14863192,0.30826634,0.11495807,0.22466479,0.12799396
123,0.40647274,0.06383623,0.06050403,0.15297052,0.04394298,0.27227345
394,0.16499428,0.26451725,0.15545839,0.23053028,0.06364378,0.1208561
96,0.06464215,0.06975942,0.09750839,0.1572047,0.4240742,0.18681113
143,0.01471307,0.11333163,0.28429145,0.02943678,0.39729336,0.16093366
239,0.15671428,0.0297141,0.02273485,0.46082848,0.22248548,0.10752279
272,0.12109638,0.43985173,0.12957564,0.10019948,0.04982325,0.15945342
97,0.30009347,0.1464739,0.28102928,0.02984223,0.07795086,0.16461024
495,0.18300962,0.07034453,0.5187901,0.04809603,0.11196291,0.06779673
122,0.07366129,0.01545705,0.14076576,0.08219007,0.19620815,0.49171767
183,0.6122681,0.07973523,0.14672928,0.03401024,0.03216208,0.09509507
202,0.07577617,0.09700517,0.4289123,0.20420657,0.04715063,0.14694908
246,0.06555786,0.458772,0.09613354,0.24914981,0.08595157,0.04443513
304,0.1043662,0.0902186,0.25594813,0.20796868,0.17997058,0.16152784
297,0.10034943,0.11803185,0.10397408,0.1958586,0.22756706,0.25421894
349,0.23712935,0.25089607,0.21914898,0.04602724,0.13176404,0.11503433
299,0.0576056,0.11595855,0.12849332,0.11013389,0.05997646,0.5278322
393,0.18261503,0.21007276,0.16750312,0.04859285,0.03949936,0.35171688
318,0.1274649,0.123964,0.16852541,0.15577099,0.13550761,0.28876707
