,Action_Cash,Action_AAPL,Action_ADBE,Action_BABA,Action_SNE,Action_V
252,0.09920554,0.03270846,0.1319783,0.4341292,0.21885683,0.08312168
21,0.09576787,0.17151468,0.0417106,0.25142574,0.13701296,0.30256814
313,0.1565821,0.090299,0.31505638,0.23890893,0.08288856,0.11626513
459,0.05764202,0.03660129,0.08350854,0.07413223,0.03077104,0.7173448
160,0.21654615,0.16164447,0.15866223,0.06751148,0.16124402,0.23439163
276,0.12242128,0.03435147,0.50205076,0.07181193,0.22162409,0.04774047
443,0.09044647,0.31166235,0.20990229,0.1374879,0.11718824,0.13331269
191,0.19060251,0.16919686,0.07984973,0.05315964,0.16632764,0.3408636
385,0.06777748,0.13432026,0.20351624,0.10910862,0.26429364,0.22098377
293,0.10384573,0.27995884,0.1774112,0.19909433,0.13208446,0.1076055
413,0.05749264,0.11727588,0.27486727,0.30568266,0.10471965,0.13996196
343,0.10399922,0.28684872,0.14078121,0.06302188,0.26834315,0.13700585
257,0.07177888,0.22788183,0.2736764,0.07481952,0.0861572,0.26568615
308,0.08328137,0.1888342,0.07087517,0.41121283,0.13718061,0.10861579
149,0.09970479,0.10512094,0.16327879,0.4491057,0.11044888,0.07234095
130,0.20069195,0.14610338,0.1404965,0.10206404,0.14828238,0.2623617
151,0.03705405,0.08456478,0.45426068,0.1705739,0.09346428,0.16008233
359,0.06169265,0.05591697,0.4742562,0.08577792,0.0462724,0.27608392
99,0.11041054,0.09283574,0.38865384,0.05713908,0.11621885,0.23474193
372,0.11484607,0.07765184,0.12026095,0.46695775,0.09411303,0.12617034
87,0.2220769,0.07842647,0.07790922,0.10495157,0.1712696,0.3453663
458,0.18475896,0.18881796,0.0329257,0.21551622,0.15241715,0.22556402
330,0.08597558,0.07589134,0.10094054,0.10195857,0.06268164,0.57255244
214,0.07027081,0.2495343,0.25639617,0.03324829,0.27793902,0.11261144
466,0.10548183,0.11244712,0.15226875,0.16278784,0.14603658,0.32097793
121,0.3338272,0.04313858,0.27823508,0.11178945,0.05486832,0.17814131
497,0.11933167,0.38635075,0.06532072,0.35852298,0.02503515,0.04543879
20,0.2242369,0.05439214,0.38060027,0.12421504,0.05173128,0.16482432
188,0.3338403,0.1058624,0.11586812,0.18601952,0.08761609,0.17079353
71,0.11697828,0.2824735,0.14063397,0.08117421,0.11039514,0.2683449
106,0.08291996,0.21468043,0.1773081,0.01100623,0.03762755,0.47645774
270,0.17440091,0.12207779,0.0959108,0.06541273,0.47105387,0.07114378
348,0.49763283,0.08943397,0.03267748,0.09028997,0.21351911,0.07644675
435,0.11156377,0.10757338,0.34165612,0.05780143,0.1471054,0.23429988
102,0.08924494,0.31827462,0.16836879,0.18722893,0.08458901,0.15229365
