Action_Cash,Action_TSM,Action_MRVL,Action_NVDA,Action_RTX,Action_GM,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_TSM_close_L1,State_TSM_high_L1,State_TSM_low_L1,State_TSM_open_L1,State_MRVL_close_L1,State_MRVL_high_L1,State_MRVL_low_L1,State_MRVL_open_L1,State_NVDA_close_L1,State_NVDA_high_L1,State_NVDA_low_L1,State_NVDA_open_L1,State_RTX_close_L1,State_RTX_high_L1,State_RTX_low_L1,State_RTX_open_L1,State_GM_close_L1,State_GM_high_L1,State_GM_low_L1,State_GM_open_L1,Wealth,Return,Price_Cash,Price_TSM,Price_MRVL,Price_NVDA,Price_RTX,Price_GM
0.16658042,0.16667053,0.16666327,0.1667006,0.16674706,0.16663808,1.0,1.0,1.0,1.0,0.99477278,0.99529549,0.96671909,0.99529549,0.99651514,1.0022653,0.99059076,1.0022653,0.97229513,0.97647707,0.95940093,0.97647707,0.93988517,0.96671914,0.93396079,0.96671914,0.95434765,0.9573098,0.9433701,0.9573098,9964.868583394242,0.0011411644447511,1.000,1.007,1.000,1.000,1.000,1.000
0.16658068,0.1666692,0.16666341,0.16670236,0.16674647,0.16663793,1.0,1.0,1.0,1.0,0.99651514,1.0022653,0.99059076,1.0022653,0.97229513,0.97647707,0.95940093,0.97647707,0.93988517,0.96671914,0.93396079,0.96671914,0.95434765,0.9573098,0.9433701,0.9573098,1.0022653,1.00435624,0.99146204,1.00435624,9967.713648119276,0.0002854687577666,1.000,1.002,1.000,1.000,1.000,1.000
0.16658005,0.16667052,0.16666275,0.16670205,0.16674717,0.16663742,1.0,1.0,1.0,1.0,0.97229513,0.97647707,0.95940093,0.97647707,0.93988517,0.96671914,0.93396079,0.96671914,0.95434765,0.9573098,0.9433701,0.9573098,1.0022653,1.00435624,0.99146204,1.00435624,1.0092351,1.01324283,0.99616662,1.01324283,9915.59501664533,-0.0052424625819693,1.000,0.969,1.000,1.000,1.000,1.000
0.16657957,0.16667119,0.1666626,0.16670103,0.16674778,0.1666378,1.0,1.0,1.0,1.0,0.93988517,0.96671914,0.93396079,0.96671914,0.95434765,0.9573098,0.9433701,0.9573098,1.0022653,1.00435624,0.99146204,1.00435624,1.0092351,1.01324283,0.99616662,1.01324283,1.01097768,1.01550806,0.99808342,1.01550806,9939.60021183783,0.0024180277869351,1.000,1.015,1.000,1.000,1.000,1.000
0.16657995,0.16667156,0.16666225,0.16669996,0.16674836,0.16663788,1.0,1.0,1.0,1.0,0.95434765,0.9573098,0.9433701,0.9573098,1.0022653,1.00435624,0.99146204,1.00435624,1.0092351,1.01324283,0.99616662,1.01324283,1.01097768,1.01550806,0.99808342,1.01550806,0.97926486,0.995644,0.97682542,0.995644,9987.198925806491,0.0047773658147015,1.000,1.029,1.000,1.000,1.000,1.000
0.1665804,0.16667084,0.16666257,0.16669996,0.16674817,0.16663799,1.0,1.0,1.0,1.0,1.0022653,1.00435624,0.99146204,1.00435624,1.0092351,1.01324283,0.99616662,1.01324283,1.01097768,1.01550806,0.99808342,1.01550806,0.97926486,0.995644,0.97682542,0.995644,0.99355292,0.99407564,0.98170416,0.99407564,10014.62537908664,0.0027423968985044,1.000,1.017,1.000,1.000,1.000,1.000
0.16658165,0.16667052,0.16666247,0.16670018,0.16674805,0.16663712,1.0,1.0,1.0,1.0,1.0092351,1.01324283,0.99616662,1.01324283,1.01097768,1.01550806,0.99808342,1.01550806,0.97926486,0.995644,0.97682542,0.995644,0.99355292,0.99407564,0.98170416,0.99407564,1.02212941,1.02631135,1.00731849,1.02631135,10006.17144771264,-0.0008445150260089,1.000,0.995,1.000,1.000,1.000,1.000
0.16658123,0.16667102,0.16666211,0.16670069,0.16674787,0.16663706,1.0,1.0,1.0,1.0,1.01097768,1.01550806,0.99808342,1.01550806,0.97926486,0.995644,0.97682542,0.995644,0.99355292,0.99407564,0.98170416,0.99407564,1.02212941,1.02631135,1.00731849,1.02631135,1.03903138,1.04112231,1.0263114,1.04112231,9974.109915816249,-0.0032093201123468,1.000,0.981,1.000,1.000,1.000,1.000
0.16658019,0.16667135,0.16666217,0.16670065,0.1667482,0.16663752,1.0,1.0,1.0,1.0,0.97926486,0.995644,0.97682542,0.995644,0.99355292,0.99407564,0.98170416,0.99407564,1.02212941,1.02631135,1.00731849,1.02631135,1.03903138,1.04112231,1.0263114,1.04112231,1.03380401,1.0402511,1.02352346,1.0402511,9916.622381236257,-0.0057803497415731,1.000,0.965,1.000,1.000,1.000,1.000
0.16657989,0.16667162,0.16666195,0.16669987,0.1667487,0.16663799,1.0,1.0,1.0,1.0,0.99355292,0.99407564,0.98170416,0.99407564,1.02212941,1.02631135,1.00731849,1.02631135,1.03903138,1.04112231,1.0263114,1.04112231,1.03380401,1.0402511,1.02352346,1.0402511,1.0139399,1.03101604,1.00836402,1.03101604,9959.45724232196,0.0043101988130246,1.000,1.026,1.000,1.000,1.000,1.000
0.16657977,0.16667177,0.16666193,0.16669999,0.16674806,0.16663854,1.0,1.0,1.0,1.0,1.02212941,1.02631135,1.00731849,1.02631135,1.03903138,1.04112231,1.0263114,1.04112231,1.03380401,1.0402511,1.02352346,1.0402511,1.0139399,1.03101604,1.00836402,1.03101604,0.9789164,0.98553778,0.96933286,0.98553778,9925.9624426605,-0.0033687829443817,1.000,0.980,1.000,1.000,1.000,1.000
0.16658027,0.16667049,0.16666241,0.16670005,0.16674809,0.16663872,1.0,1.0,1.0,1.0,1.03903138,1.04112231,1.0263114,1.04112231,1.03380401,1.0402511,1.02352346,1.0402511,1.0139399,1.03101604,1.00836402,1.03101604,0.9789164,0.98553778,0.96933286,0.98553778,1.00435641,1.00958379,0.99320465,1.00958379,9899.82499846468,-0.0026367133629662,1.000,0.984,1.000,1.000,1.000,1.000
0.16658096,0.16667122,0.16666226,0.16670081,0.16674715,0.16663763,1.0,1.0,1.0,1.0,1.03380401,1.0402511,1.02352346,1.0402511,1.0139399,1.03101604,1.00836402,1.03101604,0.9789164,0.98553778,0.96933286,0.98553778,1.00435641,1.00958379,0.99320465,1.00958379,0.98414362,0.99390145,0.97246915,0.99390145,9856.139618070403,-0.0044225075762347,1.000,0.974,1.000,1.000,1.000,1.000
0.16657978,0.1666709,0.1666626,0.16670078,0.16674735,0.1666386,1.0,1.0,1.0,1.0,1.0139399,1.03101604,1.00836402,1.03101604,0.9789164,0.98553778,0.96933286,0.98553778,1.00435641,1.00958379,0.99320465,1.00958379,0.98414362,0.99390145,0.97246915,0.99390145,0.96863571,0.98710585,0.96741599,0.98710585,9848.158258214007,-0.000810113645562,1.000,0.995,1.000,1.000,1.000,1.000
0.16658044,0.16667113,0.1666631,0.16670027,0.16674742,0.16663763,1.0,1.0,1.0,1.0,0.9789164,0.98553778,0.96933286,0.98553778,1.00435641,1.00958379,0.99320465,1.00958379,0.98414362,0.99390145,0.97246915,0.99390145,0.96863571,0.98710585,0.96741599,0.98710585,0.94302151,0.95295355,0.92664237,0.95295355,9883.798824055832,0.0036124753821697,1.000,1.022,1.000,1.000,1.000,1.000
