State,Action
[[[[1.0 1.0 1.0 1.0 ]] [[1.01156968 1.03609049 1.00889311 1.02227595]] [[0.68120447 0.69616319 0.68052453 0.69276348]] [[1.01446305 1.04771666 1.00341647 1.02038492]] [[0.83089547 0.84195505 0.83018195 0.83553336]] [[0.81684184 0.84465522 0.81684184 0.83440144]]]],[[0.01856707 0.07304958 0.15420109 0.20746389 0.49947807 0.0472404 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.02426179 1.02892419 1.00224486 1.01925401]] [[0.69072365 0.69159786 0.6706168 0.68421564]] [[1.02642068 1.04384466 1.00911058 1.03780891]] [[0.83232251 0.83374955 0.81733857 0.81912237]] [[0.81825173 0.82132786 0.80005127 0.82132786]]]],[[0.31528294 0.2227244 0.07259002 0.21694705 0.08249232 0.08996328]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.02443447 1.02823347 1.01545502 1.02313935]] [[0.69859155 0.69907722 0.68965517 0.69490044]] [[1.03188703 1.04373078 1.02380139 1.04373078]] [[0.83446308 0.83481984 0.82554406 0.82590082]] [[0.83247885 0.83452961 0.81632915 0.82260959]]]],[[0.09034719 0.07406745 0.26121134 0.15248446 0.23980853 0.18208106]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.03229149 1.04049387 1.02149888 1.02313935]] [[0.70208839 0.70539097 0.69723167 0.6973288 ]] [[1.02494021 1.04635007 1.01901834 1.03621455]] [[0.92543703 0.94719943 0.87691759 0.88762041]] [[0.84875673 0.85465265 0.83029992 0.83183799]]]],[[0.4327299 0.10372624 0.14124045 0.06337999 0.08003309 0.17889035]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.03557244 1.03807633 1.02961492 1.03626317]] [[0.71005342 0.7108305 0.70247693 0.70393395]] [[0.99077554 1.0231181 0.98052614 1.02015716]] [[0.95683197 0.96254014 0.94541563 0.94719943]] [[0.87093053 0.87093053 0.85196104 0.85631889]]]],[[0.06534545 0.14586835 0.06267238 0.30198407 0.34102806 0.08310171]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.02685201 1.03824901 1.02270765 1.03626317]] [[0.70461389 0.71510442 0.70169985 0.7108305 ]] [[0.97574308 0.99533083 0.97278214 0.99202824]] [[0.94791295 0.95611844 0.94612915 0.94933999]] [[0.85695975 0.87298129 0.85247372 0.87080236]]]],[[0.14901575 0.14537762 0.06215733 0.153232  0.15062262 0.3395947 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.03367294 1.03470903 1.02253497 1.02357106]] [[0.70257407 0.70888781 0.69975716 0.70024284]] [[0.97938731 0.98792848 0.97335155 0.97745132]] [[0.91651802 0.92222619 0.91473421 0.91651802]] [[0.85055114 0.85977954 0.85003845 0.85683158]]]],[[0.3766041 0.24016613 0.03145242 0.22493757 0.06525704 0.06158276]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.05353134 1.05465377 1.03747194 1.03755828]] [[0.70675085 0.71092763 0.70043711 0.70849927]] [[0.99373648 0.996128 0.98530919 0.99088942]] [[0.92971816 0.93221548 0.9193721 0.92400999]] [[0.84773135 0.85836965 0.84478339 0.85478083]]]],[[0.11301678 0.18280545 0.32995796 0.07344358 0.13024093 0.17053531]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.07822483 1.0785702 1.0576757 1.06000691]] [[0.70917921 0.71044196 0.70276833 0.70694512]] [[0.97938731 0.9987473 0.97733743 0.99738071]] [[0.9311452 0.93328577 0.92365323 0.92365323]] [[0.85234555 0.85337093 0.84670597 0.84914125]]]],[[0.34233665 0.1089755 0.02423149 0.16843812 0.2187182 0.13730001]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09186669 1.10067346 1.08418235 1.08841305]] [[0.72452647 0.72608062 0.71209325 0.71491015]] [[0.99191436 1.00558023 0.97426261 0.97483202]] [[0.96717802 0.96824831 0.95148056 0.95183732]] [[0.86811074 0.86811074 0.8558062 0.85760062]]]],[[0.04617296 0.20705888 0.07718451 0.10699651 0.32834172 0.23424536]]
