date,close,open,high,low,volume,percent,code
2015-01-02,93.71,95.69,96.64,93.08,90M,-2.23%,BMW.DE
2015-01-03,95.11,93.66,95.36,93.55,92M,1.5%,BMW.DE
2015-01-04,94.79,94.75,95.73,93.67,10M,-0.34%,BMW.DE
2015-01-05,95.3,94.17,95.32,93.45,55M,0.54%,BMW.DE
2015-01-06,94.94,95.37,95.53,94.45,67M,-0.38%,BMW.DE
2015-01-07,94.07,94.83,95.71,93.95,87M,-0.91%,BMW.DE
2015-01-08,92.72,94.92,95.94,92.72,95M,-1.44%,BMW.DE
2015-01-09,91.2,93.21,93.28,90.78,10M,-1.64%,BMW.DE
2015-01-10,89.95,91.24,91.52,89.79,79M,-1.37%,BMW.DE
2015-01-11,90.18,89.82,90.46,89.32,87M,0.25%,BMW.DE
2015-01-12,87.37,88.21,88.78,86.95,14M,-3.11%,BMW.DE
2015-01-13,87.63,87.12,88.27,86.95,10M,0.3%,BMW.DE
2015-01-14,86.92,88.1,88.18,86.75,10M,-0.82%,BMW.DE
2015-01-15,87.87,87.53,88.42,87.53,96M,1.09%,BMW.DE
2015-01-16,88.1,88.16,89.06,87.61,12M,0.27%,BMW.DE
2015-01-17,88.1,89.05,89.38,87.15,10M,-0.01%,BMW.DE
2015-01-18,88.23,87.7,88.23,87.07,13M,0.15%,BMW.DE
2015-01-19,89.24,88.24,89.48,88.08,10M,1.15%,BMW.DE
2015-01-20,89.38,88.91,89.38,88.03,65M,0.15%,BMW.DE
2015-01-21,89.46,89.93,90.67,88.97,77M,0.09%,BMW.DE
2015-01-22,91.14,89.49,91.2,89.28,11M,1.87%,BMW.DE
2015-01-24,7.1,7.4,7.4,7.1,12M,-1.39%,FORD
2015-01-25,7.4,7.4,7.4,7.1,20M,4.23%,FORD
2015-01-26,7.1,7.3,7.3,7.1,56M,-4.05%,FORD
2015-01-27,7.1,7.1,7.3,7.1,99M,0.0%,FORD
2015-01-28,7.3,7.1,7.4,7.1,17M,2.82%,FORD
2015-01-29,7.2,7.1,7.3,7.0,26M,-1.37%,FORD
2015-01-30,7.2,7.2,7.3,7.0,95M,0.0%,FORD
2015-01-31,7.2,7.2,7.3,7.0,48M,0.0%,FORD
2015-02-01,7.1,7.1,7.3,6.9,72M,-1.39%,FORD
2015-02-02,7.0,7.3,7.3,6.9,10M,-1.41%,FORD
2015-02-03,7.0,6.9,7.2,6.9,18M,0.0%,FORD
2015-02-04,7.0,6.9,7.2,6.8,82M,0.0%,FORD
2015-02-05,6.9,6.7,7.2,6.7,72M,-1.43%,FORD
2015-02-06,7.0,6.9,7.2,6.9,14M,1.45%,FORD
2015-02-07,7.2,7.1,7.2,7.0,14M,2.86%,FORD
2015-02-08,7.2,7.1,7.2,7.0,13M,0.0%,FORD
2015-02-09,7.1,7.2,7.8,7.1,88M,-1.39%,FORD
