,Wealth,Return,Weight,Price
0,10027.902075569806,0.0027863221535849936,"0.16,0.17,0.28,0.16,0.11,0.13","1.000,0.992,1.020,1.006,0.988,1.007"
1,10071.06531099526,0.004295076552980067,"0.07,0.11,0.61,0.14,0.02,0.06","1.000,1.026,0.997,1.033,1.007,1.007"
2,10141.164816969409,0.006936373333358349,"0.30,0.22,0.12,0.15,0.04,0.18","1.000,1.008,1.001,1.032,1.052,1.002"
3,10211.303191469877,0.006892397731057472,"0.40,0.07,0.15,0.04,0.12,0.22","1.000,1.026,1.027,1.007,1.012,1.001"
4,10270.887081901015,0.005818133482344963,"0.15,0.21,0.06,0.09,0.30,0.19","1.000,1.005,1.008,0.991,1.019,1.003"
5,10282.884136091037,0.0011673824161248954,"0.09,0.11,0.29,0.22,0.19,0.10","1.000,1.001,0.982,1.009,1.034,0.993"
6,10048.983964541,-0.0230092473247867,"0.02,0.38,0.12,0.23,0.19,0.06","1.000,0.965,0.982,0.990,0.987,0.978"
7,10156.518677704355,0.010644202261510137,"0.06,0.44,0.15,0.21,0.02,0.12","1.000,1.057,0.983,0.956,1.017,0.982"
8,10135.509119371043,-0.0020707211768707487,"0.09,0.02,0.50,0.13,0.14,0.12","1.000,1.031,1.020,0.912,1.005,1.007"
9,9981.326018519294,-0.01532906333898907,"0.05,0.15,0.65,0.03,0.04,0.09","1.000,0.985,0.979,0.992,0.988,1.028"
10,10042.282293384924,0.006088459404192769,"0.03,0.19,0.08,0.43,0.09,0.19","1.000,1.013,1.014,1.012,1.002,1.002"
11,10102.711727894759,0.005999467232604183,"0.14,0.12,0.43,0.04,0.11,0.16","1.000,1.000,1.011,1.005,1.003,1.017"
12,10253.277158964633,0.0147935015886271,"0.13,0.31,0.38,0.04,0.10,0.03","1.000,1.008,1.005,0.993,1.109,1.020"
13,10315.173049752555,0.006018545587738946,"0.33,0.05,0.15,0.12,0.15,0.19","1.000,1.003,1.011,0.967,1.034,1.026"
14,10262.557007104986,-0.005113893239887254,"0.60,0.02,0.13,0.11,0.10,0.04","1.000,0.992,0.992,0.985,0.991,0.984"
15,10133.821080477826,-0.012623578130031503,"0.12,0.06,0.07,0.08,0.25,0.43","1.000,1.007,0.997,1.004,0.967,0.993"
16,10160.209998786137,0.002600659580991001,"0.33,0.11,0.06,0.06,0.09,0.36","1.000,1.019,1.006,1.015,1.014,0.997"
17,10181.35385739429,0.0020788830566347404,"0.14,0.18,0.23,0.16,0.17,0.12","1.000,1.023,1.003,0.986,1.002,1.005"
18,10361.536667875484,0.017542558681751027,"0.07,0.07,0.74,0.03,0.06,0.04","1.000,1.013,1.022,1.013,1.039,1.018"
19,10446.558836389066,0.008172073380162938,"0.13,0.14,0.05,0.34,0.32,0.03","1.000,1.005,1.026,1.022,1.007,0.995"
20,10344.027563776019,-0.009863320049612542,"0.05,0.21,0.21,0.19,0.28,0.05","1.000,1.006,1.008,0.975,0.974,1.005"
