Action_Cash,Action_AAPL,Action_ADBE,Action_BABA,Action_SNE,Action_V,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1,Wealth,Return,Price_Cash,Price_AAPL,Price_ADBE,Price_BABA,Price_SNE,Price_V
0.10870931,0.09140172,0.20270112,0.01957288,0.45352903,0.12408601,1.0,1.0,1.0,1.0,0.97651528,0.98739423,0.97392506,0.9820411,0.70655658,0.7105391,0.69626032,0.70529383,1.18426147,1.19724405,1.17674525,1.18893065,0.83374955,0.83731716,0.83053871,0.83125223,0.82196873,0.8244040000000001,0.81325301,0.82325045,10023.8811166628,0.004469316928474637,1.000,1.057,0.983,0.956,1.017,0.982
0.14857385,0.06221399,0.10836199999999999,0.5215497,0.05677984,0.10252059,1.0,1.0,1.0,1.0,0.9423243,0.97116215,0.94137455,0.9706440999999999,0.69412336,0.70286547,0.69023798,0.69655172,1.17230384,1.17947842,1.14542763,1.17173443,0.82268998,0.82625758,0.81840885,0.82054941,0.80428095,0.81325301,0.79659062,0.81325301,9589.472036840878,-0.04430452378337435,1.000,1.031,1.020,0.912,1.005,1.007
0.07342533,0.11329942,0.25268424,0.27002677,0.04872812,0.24183604,1.0,1.0,1.0,1.0,0.99559662,1.0198584000000002,0.99559662,1.01554136,0.68237008,0.69781447,0.68062166,0.69490044,1.12117071,1.15579091,1.11365448,1.14223892,0.8369603999999999,0.85301463,0.83624688,0.85230111,0.78941297,0.81068957,0.7892848000000001,0.8091515,9546.052251937952,-0.004538141601543561,1.000,0.985,0.979,0.992,0.988,1.028
0.15341407,0.08455193,0.23071770000000003,0.17926306,0.14634183,0.20571140000000002,1.0,1.0,1.0,1.0,1.02659299,1.02909687,0.99775514,1.00431704,0.69587178,0.6976201999999999,0.67780476,0.68023312,1.02277645,1.0333675,0.9948753,1.03097597,0.84088477,0.84195505,0.83446308,0.84052801,0.79466803,0.79723148,0.7855678,0.79312997,9606.288996284657,0.006290295498141352,1.000,1.013,1.014,1.012,1.002,1.002
0.02883415,0.08417004,0.35257903,0.11185312,0.11271095,0.30985272,1.0,1.0,1.0,1.0,1.01156968,1.03609049,1.00889311,1.02227595,0.68120447,0.69616319,0.68052453,0.69276348,1.01446305,1.04771666,1.00341647,1.02038492,0.83089547,0.84195505,0.83018195,0.83553336,0.81684184,0.84465522,0.81684184,0.83440144,9697.389595358478,0.00943874764449962,1.000,1.000,1.011,1.005,1.003,1.017
0.07806505,0.2928378,0.34008092,0.07137316,0.08486287,0.13278022,1.0,1.0,1.0,1.0,1.02426179,1.02892419,1.00224486,1.01925401,0.69072365,0.69159786,0.6706168,0.68421564,1.02642068,1.04384466,1.00911058,1.03780891,0.83232251,0.83374955,0.81733857,0.81912237,0.81825173,0.82132786,0.80005127,0.82132786,9834.802297017066,0.014070614246865712,1.000,1.008,1.005,0.993,1.109,1.020
0.14681615,0.10124828,0.16735277,0.06617448,0.30504215,0.21336620000000003,1.0,1.0,1.0,1.0,1.02443447,1.02823347,1.01545502,1.02313935,0.69859155,0.69907722,0.68965517,0.69490044,1.03188703,1.04373078,1.02380139,1.04373078,0.83446308,0.83481984,0.82554406,0.82590082,0.83247885,0.83452961,0.81632915,0.82260959,9975.242389956002,0.014178912567660396,1.000,1.003,1.011,0.967,1.034,1.026
0.5100964,0.11984660000000001,0.04627449,0.03353180000000001,0.04843258,0.24181814,1.0,1.0,1.0,1.0,1.03229149,1.04049387,1.02149888,1.02313935,0.70208839,0.70539097,0.69723167,0.6973288000000001,1.02494021,1.04635007,1.01901834,1.03621455,0.92543703,0.94719943,0.87691759,0.88762041,0.84875673,0.85465265,0.83029992,0.83183799,9902.04834600629,-0.007364622849718083,1.000,0.992,0.992,0.985,0.991,0.984
0.14145029,0.07177352,0.19791363,0.0085837,0.47973257,0.10054629,1.0,1.0,1.0,1.0,1.03557244,1.03807633,1.02961492,1.03626317,0.71005342,0.7108305,0.70247693,0.70393395,0.99077554,1.0231181,0.98052614,1.02015716,0.95683197,0.96254014,0.94541563,0.94719943,0.87093053,0.87093053,0.85196104,0.85631889,9716.855471151992,-0.018879584442981358,1.000,1.007,0.997,1.004,0.967,0.993
0.22423690000000002,0.05439214,0.38060027,0.12421504,0.05173128,0.16482432,1.0,1.0,1.0,1.0,1.02685201,1.03824901,1.02270765,1.03626317,0.70461389,0.71510442,0.70169985,0.7108305,0.97574308,0.99533083,0.97278214,0.99202824,0.94791295,0.95611844,0.94612915,0.94933999,0.85695975,0.87298129,0.85247372,0.87080236,9748.880858877315,0.003290439783755201,1.000,1.019,1.006,1.015,1.014,0.997
0.09576787,0.17151468,0.0417106,0.25142574,0.13701296,0.30256814,1.0,1.0,1.0,1.0,1.03367294,1.03470903,1.02253497,1.02357106,0.70257407,0.70888781,0.69975716,0.70024284,0.97938731,0.98792848,0.97335155,0.97745132,0.91651802,0.92222619,0.91473421,0.91651802,0.85055114,0.85977954,0.85003845,0.85683158,9752.530561877142,0.0003743014250293096,1.000,1.023,1.003,0.986,1.002,1.005
