,0,1,2,3
0,10044.5354924607,0.004443661541675977,"0.16,0.13,0.30,0.23,0.06,0.11","1.000,0.992,1.020,1.006,0.988,1.007"
1,10168.54235893812,0.012270117714332614,"0.15,0.06,0.12,0.30,0.10,0.26","1.000,1.026,0.997,1.033,1.007,1.007"
2,10228.167875598701,0.005846598380002155,"0.08,0.18,0.08,0.08,0.05,0.52","1.000,1.008,1.001,1.032,1.052,1.002"
3,10315.815327691973,0.008532715686734214,"0.11,0.07,0.15,0.04,0.30,0.32","1.000,1.026,1.027,1.007,1.012,1.001"
4,10344.450903172514,0.0027720449966544512,"0.15,0.27,0.24,0.10,0.09,0.14","1.000,1.005,1.008,0.991,1.019,1.003"
5,10393.19530948604,0.004701063523272891,"0.11,0.01,0.14,0.28,0.24,0.22","1.000,1.001,0.982,1.009,1.034,0.993"
6,10229.784729040171,-0.015847758199169795,"0.22,0.04,0.12,0.13,0.11,0.37","1.000,0.965,0.982,0.990,0.987,0.978"
7,10091.120237963793,-0.013647683859600288,"0.15,0.11,0.32,0.29,0.07,0.06","1.000,1.057,0.983,0.956,1.017,0.982"
8,10051.346952110012,-0.00394920216784931,"0.04,0.09,0.48,0.19,0.09,0.12","1.000,1.031,1.020,0.912,1.005,1.007"
9,10078.74698336175,0.0027222971001671543,"0.18,0.10,0.09,0.12,0.14,0.38","1.000,0.985,0.979,0.992,0.988,1.028"
10,10156.976691894053,0.00773188046195583,"0.02,0.06,0.60,0.05,0.21,0.06","1.000,1.013,1.014,1.012,1.002,1.002"
11,10214.543215283562,0.005651682042564205,"0.06,0.15,0.40,0.27,0.05,0.07","1.000,1.000,1.011,1.005,1.003,1.017"
12,10472.38635531584,0.024929411840950325,"0.18,0.19,0.16,0.14,0.21,0.13","1.000,1.008,1.005,0.993,1.109,1.020"
13,10553.371391212675,0.007703449965032675,"0.08,0.26,0.26,0.09,0.04,0.27","1.000,1.003,1.011,0.967,1.034,1.026"
14,10404.94396902499,-0.014164297194476871,"0.02,0.10,0.04,0.05,0.41,0.38","1.000,0.992,0.992,0.985,0.991,0.984"
15,10354.649299942464,-0.004845448254589418,"0.07,0.12,0.19,0.25,0.05,0.32","1.000,1.007,0.997,1.004,0.967,0.993"
16,10393.000303151679,0.003696905203414206,"0.34,0.11,0.12,0.10,0.08,0.25","1.000,1.019,1.006,1.015,1.014,0.997"
17,10427.2853380549,0.0032934289648019954,"0.13,0.15,0.34,0.07,0.18,0.13","1.000,1.023,1.003,0.986,1.002,1.005"
18,10594.896102843191,0.01594642468810817,"0.35,0.04,0.06,0.12,0.32,0.10","1.000,1.013,1.022,1.013,1.039,1.018"
19,10686.619119956418,0.008620023913465247,"0.04,0.41,0.30,0.07,0.05,0.13","1.000,1.005,1.026,1.022,1.007,0.995"
20,10593.809440455092,-0.00872259387809405,"0.11,0.36,0.08,0.09,0.30,0.05","1.000,1.006,1.008,0.975,0.974,1.005"
21,10694.569924233998,0.009466313474569629,"0.16,0.08,0.06,0.14,0.23,0.32","1.000,1.007,1.008,0.999,1.053,0.994"
22,10620.052993672401,-0.006992123148640258,"0.05,0.23,0.11,0.27,0.24,0.10","1.000,0.998,1.000,1.002,0.977,1.000"
23,10648.884361199449,0.0027111260619839925,"0.06,0.16,0.23,0.30,0.15,0.09","1.000,1.008,1.011,0.997,0.996,1.014"
24,10649.641314579989,7.108035479833386e-05,"0.15,0.21,0.09,0.10,0.26,0.19","1.000,1.027,0.994,0.986,0.992,1.000"
