Action1,Action2,Action3,Action4,Action5,Action6,State1.1.1,State1.2.1,State1.3.1,State2.1.1,State2.2.1,State2.3.1,State3.1.1,State3.2.1,State3.3.1,State4.1.1,State4.2.1,State4.3.1,State5.1.1,State5.2.1,State5.3.1,State6.1.1,State6.2.1,State6.3.1,Wealth,Return,Price1,Price2,Price3,Price4,Price5,Price6
0.21693897,0.06164087,0.21090505,0.04585224,0.32657102,0.13809192,1.0,1.0,1.0,1.02426179,1.02443447,1.03229149,0.69072365,0.69859155,0.70208839,1.02642068,1.03188703,1.02494021,0.83232251,0.83446308,0.92543703,0.81825173,0.83247885,0.84875673,10423.301574944953,-0.00951245311028295,1.000,0.992,0.992,0.985,0.991,0.984
0.28611684,0.10135244,0.21591729,0.06969914,0.16373838,0.16317594,1.0,1.0,1.0,1.02443447,1.03229149,1.03557244,0.69859155,0.70208839,0.71005342,1.03188703,1.02494021,0.99077554,0.83446308,0.92543703,0.95683197,0.83247885,0.84875673,0.87093053,10350.617160385344,-0.006997688985324128,1.000,1.007,0.997,1.004,0.967,0.993
0.12259214,0.45592108,0.02636669,0.03331727,0.31239134,0.04941144,1.0,1.0,1.0,1.03229149,1.03557244,1.02685201,0.70208839,0.71005342,0.70461389,1.02494021,0.99077554,0.97574308,0.92543703,0.95683197,0.94791295,0.84875673,0.87093053,0.85695975,10470.985022820827,0.011561953999421993,1.000,1.019,1.006,1.015,1.014,0.997
0.0374473,0.3748381,0.26584393,0.15510584,0.09432936,0.07243545,1.0,1.0,1.0,1.03557244,1.02685201,1.03367294,0.71005342,0.70461389,0.70257407,0.99077554,0.97574308,0.97938731,0.95683197,0.94791295,0.91651802,0.87093053,0.85695975,0.85055114,10537.08215199894,0.006292568157623453,1.000,1.023,1.003,0.986,1.002,1.005
0.23137124,0.11228462,0.12700796,0.12202719999999999,0.15927242,0.2480366,1.0,1.0,1.0,1.02685201,1.03367294,1.05353134,0.70461389,0.70257407,0.70675085,0.97574308,0.97938731,0.99373648,0.94791295,0.91651802,0.92971816,0.85695975,0.85055114,0.84773135,10693.096795666444,0.01469770486612239,1.000,1.013,1.022,1.013,1.039,1.018
0.08373836,0.51607376,0.06304393,0.01530847,0.25893116,0.06290432,1.0,1.0,1.0,1.03367294,1.05353134,1.07822483,0.70257407,0.70675085,0.70917921,0.97938731,0.99373648,0.97938731,0.91651802,0.92971816,0.9311451999999999,0.85055114,0.84773135,0.85234555,10734.525063345194,0.003866814485697364,1.000,1.005,1.026,1.022,1.007,0.995
0.30736622,0.09280638,0.20378925,0.27034122,0.05347574,0.07222126,1.0,1.0,1.0,1.05353134,1.07822483,1.09186669,0.70675085,0.70917921,0.72452647,0.99373648,0.97938731,0.99191436,0.92971816,0.9311451999999999,0.96717802,0.84773135,0.85234555,0.86811074,10647.64346344025,-0.008126591832330641,1.000,1.006,1.008,0.975,0.974,1.005
0.04751759,0.10210581,0.32376477,0.34062523,0.10342085,0.08256578,1.0,1.0,1.0,1.07822483,1.09186669,1.09721982,0.70917921,0.72452647,0.7431763000000001,0.97938731,0.99191436,1.0141214,0.9311451999999999,0.96717802,0.97395648,0.85234555,0.86811074,0.86400923,10723.696212029765,0.0071172954795972795,1.000,1.007,1.008,0.999,1.053,0.994
0.10819931,0.06005451,0.5353225,0.08018444,0.11824073,0.09799857,1.0,1.0,1.0,1.09186669,1.09721982,1.10369539,0.72452647,0.7431763000000001,0.74919864,0.99191436,1.0141214,0.9890673000000001,0.96717802,0.97395648,0.94898323,0.86811074,0.86400923,0.86798257,10679.813498700767,-0.004100521401401995,1.000,0.998,1.000,1.002,0.977,1.000
0.20561051,0.11465871,0.04046548,0.27060366,0.28345498,0.08520661,1.0,1.0,1.0,1.09721982,1.10369539,1.11137973,0.7431763000000001,0.74919864,0.75502671,1.0141214,0.9890673000000001,0.9878146000000001,0.97395648,0.94898323,0.99964324,0.86400923,0.86798257,0.86234299,10662.486341682177,-0.0016237388618043386,1.000,1.008,1.011,0.997,0.996,1.014
0.18336725,0.2826199,0.08208415,0.19317885,0.24362725,0.01512261,1.0,1.0,1.0,1.10369539,1.11137973,1.10904852,0.74919864,0.75502671,0.75502671,0.9890673000000001,0.9878146000000001,0.98952283,0.94898323,0.99964324,0.9764538,0.86798257,0.86234299,0.86234299,10678.61329424286,0.0015113518895981796,1.000,1.027,0.994,0.986,0.992,1.000
0.09740216,0.06490079,0.06109145,0.13321815,0.31733352,0.32605395,1.0,1.0,1.0,1.11137973,1.10904852,1.11811432,0.75502671,0.75502671,0.76299174,0.9878146000000001,0.98952283,0.98667578,0.99964324,0.9764538,0.97252943,0.86234299,0.86234299,0.8747756999999999,10721.955521091375,0.004050573279867397,1.000,0.994,0.995,0.991,1.026,0.998
0.2878658,0.16935231,0.20576399999999997,0.14168265,0.03511239,0.16022279999999997,1.0,1.0,1.0,1.10904852,1.11811432,1.14833362,0.75502671,0.76299174,0.75862069,0.98952283,0.98667578,0.97335155,0.9764538,0.97252943,0.96432394,0.86234299,0.8747756999999999,0.8747756999999999,10697.247255260303,-0.0023071145129702577,1.000,0.974,1.005,1.018,0.998,1.002
0.14113404,0.07534324,0.25382233,0.24944532,0.15524456,0.12501048,1.0,1.0,1.0,1.11811432,1.14833362,1.14116733,0.76299174,0.75862069,0.75454104,0.98667578,0.97335155,0.96446874,0.97252943,0.96432394,0.98965394,0.8747756999999999,0.8747756999999999,0.87310946,10732.229266072252,0.003264852676233908,1.000,1.013,1.011,0.990,1.016,1.003
0.38388684,0.18108727,0.03271591,0.18825163,0.10072733,0.11333114,1.0,1.0,1.0,1.14833362,1.14116733,1.11198411,0.75862069,0.75454104,0.75832929,0.97335155,0.96446874,0.98155108,0.96432394,0.98965394,0.98787014,0.8747756999999999,0.87310946,0.8747756999999999,10682.231688196585,-0.0046695239100246425,1.000,0.985,1.002,0.997,1.007,0.991
0.21095759,0.19608991,0.06001927,0.10491103,0.06591978,0.36210242,1.0,1.0,1.0,1.14116733,1.11198411,1.12597133,0.75454104,0.75832929,0.76697426,0.96446874,0.98155108,0.97221273,0.98965394,0.98787014,1.00356761,0.87310946,0.8747756999999999,0.87721097,10766.430716249177,0.007851255148901542,1.000,1.005,1.009,0.987,0.993,1.026
0.13905147,0.15616998,0.07846634,0.24869628,0.06718376,0.31043214,1.0,1.0,1.0,1.11198411,1.12597133,1.10913486,0.75832929,0.76697426,0.76833414,0.98155108,0.97221273,0.96936568,0.98787014,1.00356761,1.01034606,0.8747756999999999,0.87721097,0.86939246,10634.794473225604,-0.012301903463149194,1.000,1.002,0.990,0.971,0.990,0.989
0.06475784,0.11385632,0.41928533,0.21466759,0.05104069,0.13639222,1.0,1.0,1.0,1.12597133,1.10913486,1.11457434,0.76697426,0.76833414,0.77503643,0.97221273,0.96936568,0.95661086,1.00356761,1.01034606,1.00285408,0.87721097,0.86939246,0.89169444,10636.349947626744,0.00014625206553429051,1.000,0.994,0.983,1.048,1.002,0.994
0.09706033,0.2442073,0.37871328,0.03764463,0.15069002,0.09168448,1.0,1.0,1.0,1.10913486,1.11457434,1.11690554,0.76833414,0.77503643,0.76726566,0.96936568,0.95661086,0.92905136,1.01034606,1.00285408,0.99286479,0.86939246,0.89169444,0.88220969,10645.524547839643,0.0008621985608653393,1.000,0.983,1.013,1.007,1.006,1.001
0.03467778,0.06303333,0.15234618,0.41369778,0.02265327,0.31359159999999997,1.0,1.0,1.0,1.11457434,1.11690554,1.10982559,0.77503643,0.76726566,0.75405537,0.95661086,0.92905136,0.97357932,1.00285408,0.99286479,0.99500535,0.89169444,0.88220969,0.87721097,10444.190623850254,-0.019093670917456798,1.000,1.002,0.986,0.980,0.980,0.982
0.05463156,0.21170712,0.07854286,0.05733045,0.42471590000000004,0.17307211,1.0,1.0,1.0,1.11690554,1.10982559,1.09143499,0.76726566,0.75405537,0.76367169,0.92905136,0.97357932,0.98052614,0.99286479,0.99500535,1.00107028,0.88220969,0.87721097,0.87836452,10390.286596512238,-0.0051745140560874245,1.000,1.004,1.005,0.978,0.991,1.008
0.44447026,0.17134775,0.01742654,0.06798723,0.1746574,0.12411087,1.0,1.0,1.0,1.10982559,1.09143499,1.09307546,0.75405537,0.76367169,0.75327829,0.97357932,0.98052614,0.96116615,0.99500535,1.00107028,0.98144845,0.87721097,0.87836452,0.86298385,10265.783843339359,-0.012054980281613923,1.000,0.979,0.975,1.005,0.974,0.977
0.19057803,0.07498636,0.11184944,0.28101176,0.25613952,0.08543494,1.0,1.0,1.0,1.09143499,1.09307546,1.09773787,0.76367169,0.75327829,0.7569694,0.98052614,0.96116615,0.93987017,1.00107028,0.98144845,0.97288619,0.87836452,0.86298385,0.86977698,10229.635806163456,-0.0035274295697138728,1.000,0.982,1.000,0.988,1.010,0.998
0.21646376,0.08074125,0.2935663,0.2031599,0.19025543,0.01581336,1.0,1.0,1.0,1.09307546,1.09773787,1.07503022,0.75327829,0.7569694,0.73822244,0.96116615,0.93987017,0.94488099,0.98144845,0.97288619,0.94791295,0.86298385,0.86977698,0.84978211,10311.398312117992,0.007960936854671098,1.000,1.018,1.018,0.999,1.011,1.018
0.05608751,0.22977015,0.2431819,0.13578087,0.04588522,0.28929429999999995,1.0,1.0,1.0,1.09773787,1.07503022,1.05543084,0.7569694,0.73822244,0.73831957,0.93987017,0.94488099,0.93372053,0.97288619,0.94791295,0.95754549,0.86977698,0.84978211,0.84837221,10223.65467567622,-0.008545794402461518,1.000,0.993,1.003,0.999,0.979,0.983
0.23577835,0.24001387,0.2557685,0.06426886,0.04411673,0.16005377,1.0,1.0,1.0,1.07503022,1.05543084,1.07451217,0.73822244,0.73831957,0.75182127,0.94488099,0.93372053,0.93292336,0.94791295,0.95754549,0.96789154,0.84978211,0.84837221,0.86375288,10297.877329978532,0.0072336683176672375,1.000,1.011,1.009,1.026,0.972,1.015
0.12838861,0.22328040000000002,0.34904662,0.07331773,0.14795642,0.07801025,1.0,1.0,1.0,1.05543084,1.07451217,1.06708686,0.73831957,0.75182127,0.75395823,0.93372053,0.93292336,0.93224006,0.95754549,0.96789154,0.94755619,0.84837221,0.86375288,0.84926942,10435.401495952585,0.013266226153696277,1.000,1.017,1.017,1.006,1.036,0.983
