Wealth,Return,Weight1,Weight2,Weight3,Weight4,Weight5,Weight6,Price1,Price2,Price3,Price4,Price5,Price6
9701.606803135724,-0.0024796921660605,0.1,0.04,0.2,0.52,0.1,0.04,1.0,1.011,0.965,1.001,1.051,1.012
9716.828253869357,0.0015677322921785,0.21,0.09,0.11,0.33,0.12,0.15,1.0,0.992,1.003,1.014,0.991,0.998
9643.568003810104,-0.0075680888712021,0.12,0.56,0.1,0.03,0.05,0.15,1.0,0.987,1.003,0.994,1.002,1.009
9532.338922552946,-0.0116010501256694,0.03,0.08,0.41,0.28,0.12,0.08,1.0,1.01,0.987,0.989,0.995,0.995
9459.547105865997,-0.0076656076204631,0.1,0.27,0.03,0.28,0.29,0.04,1.0,0.996,0.988,0.993,0.992,1.0
9222.936831007852,-0.0253309921155646,0.08,0.26,0.37,0.1,0.14,0.05,1.0,0.974,0.969,1.001,0.968,0.98
9223.499502422605,6.100597478630954e-05,0.09,0.15,0.37,0.25,0.09,0.05,1.0,1.007,0.998,1.005,0.994,0.998
9242.489070211315,0.0020567081375487,0.26,0.02,0.06,0.04,0.51,0.1,1.0,0.992,1.005,1.005,1.009,0.999
9330.484225409316,0.0094756840716679,0.04,0.08,0.05,0.05,0.73,0.04,1.0,1.025,1.004,0.992,1.012,1.002
9259.050010396602,-0.0076854606166195,0.24,0.1,0.07,0.02,0.3,0.27,1.0,0.985,1.005,0.992,0.989,0.996
9239.864888015376,-0.0020741896878674,0.11,0.57,0.1,0.07,0.04,0.11,1.0,0.999,1.015,0.989,1.018,0.996
9305.165671994537,0.0070424315187733,0.18,0.06,0.27,0.09,0.31,0.09,1.0,1.009,1.008,0.999,1.022,1.002
9415.264565974348,0.0117625676332429,0.39,0.15,0.13,0.09,0.18,0.05,1.0,1.016,1.007,0.994,1.054,0.999
9375.874789561503,-0.0041923837996958,0.08,0.35,0.05,0.22,0.1,0.19,1.0,0.989,0.992,1.005,0.987,1.009
9455.29824590694,0.0084353669467149,0.06,0.14,0.04,0.03,0.26,0.46,1.0,0.997,0.997,1.039,1.019,1.011
9508.73350163742,0.0056354469196558,0.09,0.05,0.3,0.42,0.11,0.04,1.0,1.008,1.012,1.009,1.013,0.999
9454.81757812115,-0.0056862840261406,0.13,0.2,0.12,0.29,0.02,0.22,1.0,1.004,1.003,0.982,1.022,0.998
9397.896320763406,-0.0060385396635707,0.17,0.15,0.16,0.2,0.02,0.29,1.0,0.998,0.993,0.996,0.994,0.989
9471.275691604573,0.0077777382818409,0.13,0.12,0.12,0.06,0.4,0.17,1.0,0.996,0.999,1.009,1.025,0.999
9514.8807050247,0.0045933562515131,0.16,0.16,0.27,0.08,0.25,0.09,1.0,1.004,1.001,0.996,1.02,1.002
9439.039634742225,-0.008002721725479,0.25,0.06,0.28,0.34,0.01,0.05,1.0,0.995,0.988,0.993,0.979,1.0
9231.004948756352,-0.0222863202646397,0.11,0.04,0.08,0.4,0.07,0.3,1.0,0.989,0.973,0.974,0.966,0.983
9276.747648484356,0.0049430953464632,0.15,0.04,0.16,0.39,0.08,0.19,1.0,1.023,1.011,1.004,1.012,1.003
9355.57059080115,0.0084609345473269,0.05,0.09,0.1,0.13,0.52,0.11,1.0,0.995,1.009,1.003,1.017,1.01
9565.445948550694,0.0221852737554191,0.07,0.06,0.18,0.15,0.06,0.48,1.0,1.013,1.012,0.996,1.048,1.041
9508.58214746722,-0.005962450014226,0.12,0.2,0.27,0.08,0.18,0.15,1.0,1.008,1.014,1.003,0.95,0.996
9593.302986344152,0.0088704746999146,0.18,0.09,0.21,0.26,0.14,0.12,1.0,1.005,1.0,1.028,1.02,0.996
9632.056467265596,0.0040315015699253,0.22,0.24,0.08,0.4,0.03,0.04,1.0,1.018,1.0,1.004,0.995,0.994
9590.39159109629,-0.0043350296790142,0.16,0.13,0.12,0.35,0.1,0.14,1.0,0.984,0.993,1.002,0.994,0.995
9540.091975873667,-0.0052585948449238,0.25,0.19,0.24,0.11,0.1,0.12,1.0,0.985,1.008,0.969,0.99,1.009
9399.164751838893,-0.014882297349963,0.17,0.19,0.17,0.12,0.13,0.21,1.0,0.973,0.992,0.986,0.985,0.981
9457.861796773135,0.0062255026643796,0.09,0.08,0.37,0.16,0.18,0.12,1.0,1.03,1.005,0.999,1.022,0.996
9434.62357624478,-0.0024600503098504,0.08,0.21,0.26,0.07,0.24,0.14,1.0,0.998,0.992,0.993,1.008,0.997
9330.454107681517,-0.0111025960431448,0.18,0.24,0.33,0.06,0.05,0.14,1.0,0.977,0.989,0.987,0.974,1.006
9305.413473877676,-0.0026873606784707,0.07,0.17,0.17,0.42,0.06,0.1,1.0,0.994,0.993,1.006,0.988,0.996
9365.98968038753,0.0064886841707608,0.59,0.16,0.08,0.08,0.05,0.04,1.0,1.002,1.003,1.075,1.011,1.014
9522.62157037208,0.0165851769892754,0.07,0.11,0.28,0.11,0.3,0.12,1.0,1.019,1.021,1.012,1.011,1.043
9501.96978929241,-0.0021710625790705,0.29,0.04,0.16,0.11,0.12,0.28,1.0,0.99,1.006,0.996,1.007,0.994
9472.21139027996,-0.0031367280759443,0.05,0.15,0.07,0.05,0.09,0.59,1.0,0.996,0.997,1.001,1.022,0.995
9475.907323406867,0.0003901108315424,0.6,0.13,0.07,0.14,0.03,0.04,1.0,1.001,1.007,1.009,1.016,0.999
9635.440107490616,0.0166954727088956,0.14,0.09,0.42,0.12,0.17,0.06,1.0,1.023,1.03,1.01,1.006,1.02
9688.802426540118,0.0055228508535901,0.12,0.07,0.18,0.07,0.51,0.06,1.0,0.999,0.994,1.001,1.017,0.994
9681.40431942861,-0.0007638645852631,0.23,0.26,0.06,0.08,0.21,0.15,1.0,1.011,1.006,0.985,0.991,1.006
9683.145605445494,0.000179842653543,0.66,0.09,0.08,0.05,0.1,0.03,1.0,0.999,1.003,1.013,1.005,1.002
9717.992582689052,0.0035922649876331,0.11,0.17,0.07,0.3,0.17,0.2,1.0,1.0,1.0,1.028,0.987,0.995
9790.607971156574,0.007444483127413,0.25,0.15,0.13,0.21,0.15,0.1,1.0,1.01,1.012,1.035,0.989,0.994
9791.245778125452,6.514265475278607e-05,0.14,0.28,0.08,0.15,0.2,0.14,1.0,1.009,0.994,0.994,0.997,1.004
9698.725745749703,-0.0094941880482459,0.18,0.14,0.17,0.24,0.17,0.09,1.0,0.978,0.992,0.992,0.997,0.984
9707.295308925082,0.000883186069753,0.27,0.04,0.04,0.2,0.21,0.24,1.0,1.019,1.01,1.001,0.988,1.014
9656.323525196804,-0.0052647082033166,0.09,0.11,0.41,0.13,0.14,0.11,1.0,0.998,0.998,0.982,0.998,1.001
9533.67624551198,-0.0127825900091457,0.11,0.11,0.06,0.23,0.31,0.18,1.0,0.989,0.988,0.982,0.992,0.987
9557.540425420542,0.0025000179663075,0.11,0.41,0.06,0.18,0.18,0.07,1.0,1.002,1.01,1.016,0.996,1.006
9510.035104960169,-0.0049828483622609,0.05,0.64,0.15,0.06,0.04,0.05,1.0,0.996,0.999,0.997,0.992,0.999
9492.58577791542,-0.0018365184525568,0.05,0.13,0.1,0.39,0.13,0.2,1.0,1.001,1.004,1.003,0.996,0.999
9429.073159672578,-0.0067132440112677,0.17,0.08,0.13,0.39,0.09,0.13,1.0,0.994,0.983,0.998,0.987,0.989
9420.156483187438,-0.0009461052063353,0.15,0.18,0.11,0.28,0.19,0.1,1.0,0.995,1.001,1.001,1.001,1.002
9309.289702183412,-0.0118389059478729,0.33,0.1,0.15,0.07,0.22,0.13,1.0,0.993,0.991,0.973,0.974,0.99
9260.250420079872,-0.0052817028081647,0.11,0.01,0.62,0.13,0.07,0.06,1.0,0.997,0.997,0.992,0.996,1.004
9454.165166784282,0.0207243112924787,0.02,0.01,0.22,0.21,0.46,0.09,1.0,1.011,1.021,1.015,1.029,1.025
9473.642210770406,0.0020580356162988,0.22,0.18,0.18,0.03,0.25,0.15,1.0,0.998,1.001,0.981,1.018,1.0
9427.917371063731,-0.0048382175771182,0.2,0.21,0.22,0.22,0.11,0.05,1.0,0.989,1.003,0.993,0.998,0.996
9396.01962976954,-0.0033890648724114,0.09,0.05,0.28,0.05,0.42,0.09,1.0,0.998,0.988,0.994,1.008,0.989
9384.46636104397,-0.001230348372095,0.16,0.2,0.07,0.23,0.25,0.09,1.0,1.005,1.013,1.0,0.992,1.006
9318.447483804126,-0.0070597717540446,0.35,0.14,0.16,0.12,0.15,0.07,1.0,0.998,0.975,1.008,0.984,0.996
9356.447430521746,0.0040696345910337,0.18,0.08,0.09,0.28,0.27,0.09,1.0,1.005,1.019,0.999,1.008,1.011
9251.116196470282,-0.0113214562887513,0.04,0.03,0.13,0.56,0.15,0.09,1.0,0.99,1.004,0.988,0.983,0.988
9402.183635696,0.0161977498349028,0.04,0.09,0.15,0.13,0.43,0.17,1.0,1.008,1.032,0.999,1.028,1.006
9387.36851614831,-0.0015769532448806,0.17,0.44,0.15,0.12,0.03,0.09,1.0,0.995,1.015,0.993,1.017,1.005
9314.935275230811,-0.0077459551390292,0.14,0.11,0.09,0.18,0.37,0.1,1.0,1.009,0.998,1.001,0.984,0.992
9328.379995077505,0.0014423102310363,0.19,0.05,0.28,0.16,0.1,0.22,1.0,0.995,1.006,1.001,1.021,0.997
9239.696020830115,-0.0095523788811395,0.28,0.05,0.15,0.28,0.07,0.17,1.0,0.994,0.986,0.977,1.001,1.002
9036.476085731412,-0.0222397020521209,0.12,0.02,0.26,0.35,0.12,0.13,1.0,0.982,0.982,0.973,0.974,0.97
8996.612443798833,-0.0044211735334282,0.11,0.09,0.08,0.34,0.16,0.23,1.0,1.007,0.997,1.015,0.935,1.006
9017.498006734915,0.0023188014031142,0.08,0.06,0.03,0.58,0.14,0.1,1.0,1.009,0.999,1.002,1.004,1.01
8992.433339593052,-0.0027834290805666,0.04,0.07,0.28,0.13,0.18,0.29,1.0,0.999,0.998,0.995,0.996,1.006
8887.477716393412,-0.0117401958421658,0.13,0.02,0.16,0.28,0.27,0.14,1.0,0.997,0.997,0.978,0.988,0.998
8852.172750854283,-0.0039803503700635,0.06,0.24,0.12,0.19,0.14,0.25,1.0,0.998,1.001,0.992,1.005,0.995
8697.579997610457,-0.0176181116863088,0.14,0.14,0.16,0.14,0.08,0.34,1.0,0.975,0.993,0.979,0.952,0.985
8713.246131250899,0.0017995858154463,0.13,0.12,0.29,0.07,0.03,0.35,1.0,0.98,1.006,1.014,1.021,1.005
8793.083143329924,0.0091209943915722,0.35,0.11,0.24,0.15,0.09,0.06,1.0,1.027,1.001,1.016,1.038,1.02
8897.259233521247,0.0117778720422554,0.1,0.16,0.11,0.3,0.31,0.02,1.0,1.019,1.011,1.019,1.01,1.016
8869.332107076134,-0.0031437824972613,0.12,0.05,0.32,0.13,0.28,0.09,1.0,1.0,1.006,0.996,0.987,1.008
8804.096813954846,-0.0073823353332674,0.06,0.1,0.08,0.48,0.11,0.17,1.0,1.01,1.003,0.991,0.987,0.999
8829.899352235467,0.0029264559719948,0.23,0.13,0.23,0.11,0.23,0.07,1.0,1.013,1.005,1.01,1.002,1.008
8857.808565567357,0.0031557776308551,0.36,0.18,0.22,0.14,0.02,0.08,1.0,1.009,0.995,1.022,1.005,1.004
8918.914650449222,0.0068748694362583,0.1,0.32,0.09,0.2,0.14,0.15,1.0,1.019,1.0,0.992,1.0,1.026
8855.877440655282,-0.0070929070506821,0.22,0.08,0.06,0.14,0.05,0.44,1.0,0.99,0.989,0.998,1.012,0.991
8815.051967771065,-0.0046206449674648,0.28,0.16,0.12,0.24,0.13,0.07,1.0,0.958,0.994,1.02,0.998,0.999
8811.348198513193,-0.0004202524936961,0.43,0.1,0.23,0.06,0.06,0.13,1.0,1.0,0.999,0.997,1.029,0.997
8805.005921893846,-0.0007200442100583,0.36,0.13,0.05,0.15,0.26,0.05,1.0,0.995,1.004,0.99,1.002,1.043
8684.38432632984,-0.0137939066394617,0.13,0.12,0.06,0.24,0.23,0.22,1.0,0.986,0.987,0.98,0.987,0.987
8702.061994852646,0.0020335006116668,0.17,0.3,0.02,0.21,0.15,0.14,1.0,1.005,1.008,0.99,1.012,1.012
8738.714647043025,0.0042031048160327,0.1,0.13,0.11,0.13,0.28,0.24,1.0,0.997,0.996,0.996,1.01,1.017
8746.487573973978,0.0008890863651133,0.02,0.11,0.36,0.19,0.14,0.17,1.0,0.995,1.013,0.996,0.986,1.005
8596.125364077741,-0.0173406369861233,0.12,0.09,0.08,0.19,0.37,0.15,1.0,0.991,1.009,0.98,0.974,0.986
8496.915668089005,-0.0116083276075658,0.41,0.35,0.11,0.04,0.03,0.07,1.0,0.976,0.993,0.996,0.979,1.006
8428.411082497942,-0.0080949645089192,0.14,0.03,0.18,0.06,0.37,0.23,1.0,0.968,1.008,1.011,0.986,0.993
8426.546860474966,-0.000221207556481,0.16,0.14,0.07,0.16,0.2,0.27,1.0,1.007,1.016,1.012,0.991,0.996
8315.003007416131,-0.013325588672081,0.21,0.08,0.09,0.1,0.16,0.37,1.0,0.998,0.986,0.989,0.98,0.981
8324.832483596882,0.0011814392431211,0.13,0.08,0.25,0.34,0.12,0.08,1.0,1.003,1.006,0.998,1.01,1.009
8401.21622878908,0.0091335709362982,0.27,0.1,0.31,0.09,0.09,0.14,1.0,1.036,1.011,1.021,1.012,1.002
8262.201429839191,-0.0166854155566458,0.04,0.17,0.25,0.07,0.07,0.41,1.0,0.948,1.003,0.961,1.007,0.986
8273.05283686029,0.0013125178970806,0.24,0.44,0.15,0.05,0.05,0.08,1.0,1.015,0.999,0.949,0.977,1.002
8320.992896239777,0.0057779993528802,0.3,0.22,0.03,0.24,0.14,0.07,1.0,0.999,1.006,1.024,1.009,1.005
8386.265858075401,0.007813764651412,0.04,0.11,0.46,0.3,0.03,0.05,1.0,1.007,1.021,0.995,1.006,1.004
8412.171013827852,0.0030842365257259,0.03,0.17,0.41,0.08,0.12,0.19,1.0,1.01,1.008,1.006,0.989,1.003
8349.02378730494,-0.0075349670522904,0.15,0.1,0.14,0.3,0.15,0.16,1.0,0.994,0.996,0.983,1.001,1.001
8270.89470597776,-0.0094019302061755,0.11,0.33,0.08,0.14,0.16,0.18,1.0,0.987,0.989,0.99,0.991,0.999
