State,Action
[[[[1.0 1.0 1.0 1.0 ]] [[1.02659299 1.02909687 0.99775514 1.00431704]] [[0.69587178 0.6976202 0.67780476 0.68023312]] [[1.02277645 1.0333675 0.9948753 1.03097597]] [[0.84088477 0.84195505 0.83446308 0.84052801]] [[0.79466803 0.79723148 0.7855678 0.79312997]]]],[[0.21135218 0.35209575 0.10087753 0.09487162 0.12475473 0.11604817]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.01156968 1.03609049 1.00889311 1.02227595]] [[0.68120447 0.69616319 0.68052453 0.69276348]] [[1.01446305 1.04771666 1.00341647 1.02038492]] [[0.83089547 0.84195505 0.83018195 0.83553336]] [[0.81684184 0.84465522 0.81684184 0.83440144]]]],[[0.05999559 0.13236077 0.02031214 0.09221864 0.16262218 0.5324907 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.02426179 1.02892419 1.00224486 1.01925401]] [[0.69072365 0.69159786 0.6706168 0.68421564]] [[1.02642068 1.04384466 1.00911058 1.03780891]] [[0.83232251 0.83374955 0.81733857 0.81912237]] [[0.81825173 0.82132786 0.80005127 0.82132786]]]],[[0.10082988 0.39037383 0.31323224 0.07866058 0.05720504 0.05969851]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.02443447 1.02823347 1.01545502 1.02313935]] [[0.69859155 0.69907722 0.68965517 0.69490044]] [[1.03188703 1.04373078 1.02380139 1.04373078]] [[0.83446308 0.83481984 0.82554406 0.82590082]] [[0.83247885 0.83452961 0.81632915 0.82260959]]]],[[0.05780998 0.1532769 0.32933816 0.11672089 0.10984509 0.23300895]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.03229149 1.04049387 1.02149888 1.02313935]] [[0.70208839 0.70539097 0.69723167 0.6973288 ]] [[1.02494021 1.04635007 1.01901834 1.03621455]] [[0.92543703 0.94719943 0.87691759 0.88762041]] [[0.84875673 0.85465265 0.83029992 0.83183799]]]],[[0.11162536 0.2207123 0.06855493 0.09982527 0.06564225 0.4336399 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.03557244 1.03807633 1.02961492 1.03626317]] [[0.71005342 0.7108305 0.70247693 0.70393395]] [[0.99077554 1.0231181 0.98052614 1.02015716]] [[0.95683197 0.96254014 0.94541563 0.94719943]] [[0.87093053 0.87093053 0.85196104 0.85631889]]]],[[0.20040011 0.33670896 0.08955491 0.15913096 0.07920562 0.13499941]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.02685201 1.03824901 1.02270765 1.03626317]] [[0.70461389 0.71510442 0.70169985 0.7108305 ]] [[0.97574308 0.99533083 0.97278214 0.99202824]] [[0.94791295 0.95611844 0.94612915 0.94933999]] [[0.85695975 0.87298129 0.85247372 0.87080236]]]],[[0.08627408 0.16483475 0.6078056 0.07454725 0.02742804 0.03911026]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.03367294 1.03470903 1.02253497 1.02357106]] [[0.70257407 0.70888781 0.69975716 0.70024284]] [[0.97938731 0.98792848 0.97335155 0.97745132]] [[0.91651802 0.92222619 0.91473421 0.91651802]] [[0.85055114 0.85977954 0.85003845 0.85683158]]]],[[0.03765516 0.15627213 0.15230711 0.21419837 0.10746211 0.33210516]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.05353134 1.05465377 1.03747194 1.03755828]] [[0.70675085 0.71092763 0.70043711 0.70849927]] [[0.99373648 0.996128 0.98530919 0.99088942]] [[0.92971816 0.93221548 0.9193721 0.92400999]] [[0.84773135 0.85836965 0.84478339 0.85478083]]]],[[0.02453467 0.1631492 0.07208084 0.08359134 0.05074146 0.6059025 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.07822483 1.0785702 1.0576757 1.06000691]] [[0.70917921 0.71044196 0.70276833 0.70694512]] [[0.97938731 0.9987473 0.97733743 0.99738071]] [[0.9311452 0.93328577 0.92365323 0.92365323]] [[0.85234555 0.85337093 0.84670597 0.84914125]]]],[[0.16461508 0.05644409 0.4404477 0.16256145 0.12183934 0.05409236]]
