,Wealth,Return,Weight,Price
0,9999.40743459861,-5.9258295877186407e-05,"0.14,0.02,0.03,0.52,0.18,0.10","1.000,0.992,1.020,1.006,0.988,1.007"
1,10037.940325675998,0.0038461116749021907,"0.33,0.06,0.20,0.08,0.27,0.07","1.000,1.026,0.997,1.033,1.007,1.007"
2,10161.279874530723,0.012212459746101446,"0.18,0.24,0.28,0.08,0.16,0.07","1.000,1.008,1.001,1.032,1.052,1.002"
3,10232.332443943282,0.006968148241687647,"0.23,0.05,0.04,0.16,0.47,0.06","1.000,1.026,1.027,1.007,1.012,1.001"
4,10202.966473837336,-0.0028740455853381785,"0.09,0.16,0.07,0.39,0.05,0.25","1.000,1.005,1.008,0.991,1.019,1.003"
5,10220.971541568197,0.001763134257610507,"0.39,0.25,0.08,0.03,0.15,0.10","1.000,1.001,0.982,1.009,1.034,0.993"
6,10068.195864159637,-0.015060111821397784,"0.18,0.06,0.08,0.06,0.47,0.15","1.000,0.965,0.982,0.990,0.987,0.978"
7,10044.966164449292,-0.0023099013477927413,"0.11,0.26,0.15,0.27,0.09,0.13","1.000,1.057,0.983,0.956,1.017,0.982"
8,10084.181916066682,0.0038964193690912774,"0.24,0.39,0.13,0.12,0.04,0.08","1.000,1.031,1.020,0.912,1.005,1.007"
9,10020.05162664999,-0.006379801229308886,"0.19,0.17,0.10,0.19,0.21,0.13","1.000,0.985,0.979,0.992,0.988,1.028"
10,10096.803090637168,0.007630600059175297,"0.14,0.27,0.22,0.16,0.06,0.15","1.000,1.013,1.014,1.012,1.002,1.002"
11,10142.547434653457,0.004520344845281172,"0.10,0.07,0.16,0.16,0.37,0.14","1.000,1.000,1.011,1.005,1.003,1.017"
12,10305.02941695195,0.015892876059177552,"0.10,0.21,0.07,0.21,0.10,0.30","1.000,1.008,1.005,0.993,1.109,1.020"
13,10453.810465041053,0.014334480782226383,"0.10,0.04,0.13,0.13,0.47,0.13","1.000,1.003,1.011,0.967,1.034,1.026"
14,10337.49084329923,-0.011189375175332049,"0.14,0.25,0.08,0.04,0.25,0.24","1.000,0.992,0.992,0.985,0.991,0.984"
15,10264.614308492412,-0.007074698263477349,"0.27,0.06,0.28,0.16,0.14,0.09","1.000,1.007,0.997,1.004,0.967,0.993"
16,10291.599157643564,0.002625470366550293,"0.34,0.02,0.17,0.15,0.07,0.25","1.000,1.019,1.006,1.015,1.014,0.997"
17,10339.277276460272,0.004622024066535235,"0.34,0.28,0.13,0.10,0.08,0.07","1.000,1.023,1.003,0.986,1.002,1.005"
18,10500.793260645814,0.015500832198897559,"0.03,0.24,0.20,0.13,0.03,0.37","1.000,1.013,1.022,1.013,1.039,1.018"
19,10540.616094298928,0.0037851914316876095,"0.16,0.02,0.05,0.18,0.25,0.35","1.000,1.005,1.026,1.022,1.007,0.995"
20,10436.569307291476,-0.009920076336879927,"0.11,0.14,0.19,0.29,0.15,0.11","1.000,1.006,1.008,0.975,0.974,1.005"
21,10499.398912138542,0.006002091024274495,"0.14,0.15,0.10,0.26,0.12,0.22","1.000,1.007,1.008,0.999,1.053,0.994"
22,10446.362919703883,-0.005064137194424195,"0.19,0.46,0.06,0.06,0.11,0.12","1.000,0.998,1.000,1.002,0.977,1.000"
23,10450.477388908588,0.0003937886491078431,"0.18,0.17,0.07,0.22,0.26,0.10","1.000,1.008,1.011,0.997,0.996,1.014"
24,10403.501386235906,-0.004505239276962127,"0.19,0.05,0.16,0.16,0.15,0.30","1.000,1.027,0.994,0.986,0.992,1.000"
25,10434.744047370321,0.0029985907061071838,"0.03,0.13,0.15,0.14,0.27,0.29","1.000,0.994,0.995,0.991,1.026,0.998"
26,10453.876838102455,0.0018318869577398185,"0.12,0.15,0.05,0.41,0.15,0.13","1.000,0.974,1.005,1.018,0.998,1.002"
27,10466.036521242322,0.0011624985534484421,"0.08,0.04,0.10,0.32,0.18,0.29","1.000,1.013,1.011,0.990,1.016,1.003"
28,10448.863398051415,-0.0016421906981658578,"0.28,0.09,0.12,0.06,0.34,0.12","1.000,0.985,1.002,0.997,1.007,0.991"
