,Wealth,Return,Weight,Price
0,10039.79874674305,0.003971975923516245,"0.13,0.10,0.39,0.04,0.19,0.15","1.000,0.992,1.020,1.006,0.988,1.007"
1,10153.478140181553,0.011259251780452154,"0.36,0.36,0.03,0.09,0.12,0.04","1.000,1.026,0.997,1.033,1.007,1.007"
2,10286.279450653177,0.012994594344500211,"0.24,0.11,0.19,0.16,0.16,0.14","1.000,1.008,1.001,1.032,1.052,1.002"
3,10417.587749513936,0.012684592515956767,"0.16,0.10,0.22,0.09,0.39,0.04","1.000,1.026,1.027,1.007,1.012,1.001"
4,10428.456932070203,0.0010428053577796472,"0.26,0.16,0.19,0.09,0.03,0.28","1.000,1.005,1.008,0.991,1.019,1.003"
5,10437.74955128219,0.0008906860797851868,"0.36,0.10,0.04,0.10,0.10,0.29","1.000,1.001,0.982,1.009,1.034,0.993"
6,10296.427511341537,-0.013632007483659609,"0.33,0.06,0.16,0.03,0.23,0.19","1.000,0.965,0.982,0.990,0.987,0.978"
7,10262.32189660404,-0.003317871661133418,"0.07,0.10,0.24,0.16,0.30,0.12","1.000,1.057,0.983,0.956,1.017,0.982"
8,10324.211165606586,0.006012615651679686,"0.08,0.04,0.24,0.02,0.44,0.17","1.000,1.031,1.020,0.912,1.005,1.007"
9,10228.9245486401,-0.009272288275796917,"0.47,0.02,0.34,0.09,0.04,0.04","1.000,0.985,0.979,0.992,0.988,1.028"
10,10302.306509329701,0.0071483558838555976,"0.12,0.11,0.19,0.38,0.14,0.07","1.000,1.013,1.014,1.012,1.002,1.002"
11,10343.30583213694,0.00397172784462435,"0.09,0.15,0.09,0.12,0.37,0.18","1.000,1.000,1.011,1.005,1.003,1.017"
12,10468.642469210232,0.012044826419151944,"0.41,0.17,0.22,0.06,0.10,0.04","1.000,1.008,1.005,0.993,1.109,1.020"
13,10522.925826720906,0.00517193167722621,"0.26,0.05,0.28,0.13,0.04,0.24","1.000,1.003,1.011,0.967,1.034,1.026"
14,10423.301574944953,-0.00951245311028295,"0.22,0.06,0.21,0.05,0.33,0.14","1.000,0.992,0.992,0.985,0.991,0.984"
15,10350.617160385345,-0.006997688985324128,"0.29,0.10,0.22,0.07,0.16,0.16","1.000,1.007,0.997,1.004,0.967,0.993"
16,10470.985022820827,0.011561953999421993,"0.12,0.46,0.03,0.03,0.31,0.05","1.000,1.019,1.006,1.015,1.014,0.997"
17,10537.082151998939,0.006292568157623452,"0.04,0.37,0.27,0.16,0.09,0.07","1.000,1.023,1.003,0.986,1.002,1.005"
18,10693.096795666444,0.01469770486612239,"0.23,0.11,0.13,0.12,0.16,0.25","1.000,1.013,1.022,1.013,1.039,1.018"
19,10734.525063345194,0.0038668144856973635,"0.08,0.52,0.06,0.02,0.26,0.06","1.000,1.005,1.026,1.022,1.007,0.995"
20,10647.64346344025,-0.00812659183233064,"0.31,0.09,0.20,0.27,0.05,0.07","1.000,1.006,1.008,0.975,0.974,1.005"
21,10723.696212029765,0.0071172954795972795,"0.05,0.10,0.32,0.34,0.10,0.08","1.000,1.007,1.008,0.999,1.053,0.994"
22,10679.813498700769,-0.004100521401401995,"0.11,0.06,0.54,0.08,0.12,0.10","1.000,0.998,1.000,1.002,0.977,1.000"
23,10662.486341682175,-0.0016237388618043388,"0.21,0.11,0.04,0.27,0.28,0.09","1.000,1.008,1.011,0.997,0.996,1.014"
24,10678.61329424286,0.0015113518895981794,"0.18,0.28,0.08,0.19,0.24,0.02","1.000,1.027,0.994,0.986,0.992,1.000"
25,10721.955521091375,0.004050573279867397,"0.10,0.06,0.06,0.13,0.32,0.33","1.000,0.994,0.995,0.991,1.026,0.998"
26,10697.247255260303,-0.002307114512970258,"0.29,0.17,0.21,0.14,0.04,0.16","1.000,0.974,1.005,1.018,0.998,1.002"
27,10732.229266072252,0.0032648526762339082,"0.14,0.08,0.25,0.25,0.16,0.13","1.000,1.013,1.011,0.990,1.016,1.003"
28,10682.231688196583,-0.0046695239100246425,"0.38,0.18,0.03,0.19,0.10,0.11","1.000,0.985,1.002,0.997,1.007,0.991"
29,10766.430716249177,0.007851255148901542,"0.21,0.20,0.06,0.10,0.07,0.36","1.000,1.005,1.009,0.987,0.993,1.026"
30,10634.794473225604,-0.012301903463149194,"0.14,0.16,0.08,0.25,0.07,0.31","1.000,1.002,0.990,0.971,0.990,0.989"
31,10636.349947626744,0.0001462520655342905,"0.06,0.11,0.42,0.21,0.05,0.14","1.000,0.994,0.983,1.048,1.002,0.994"
32,10645.524547839643,0.0008621985608653394,"0.10,0.24,0.38,0.04,0.15,0.09","1.000,0.983,1.013,1.007,1.006,1.001"
33,10444.190623850254,-0.019093670917456795,"0.03,0.06,0.15,0.41,0.02,0.31","1.000,1.002,0.986,0.980,0.980,0.982"
34,10390.286596512238,-0.005174514056087424,"0.05,0.21,0.08,0.06,0.42,0.17","1.000,1.004,1.005,0.978,0.991,1.008"
35,10265.78384333936,-0.012054980281613923,"0.44,0.17,0.02,0.07,0.17,0.12","1.000,0.979,0.975,1.005,0.974,0.977"
36,10229.635806163455,-0.003527429569713873,"0.19,0.07,0.11,0.28,0.26,0.09","1.000,0.982,1.000,0.988,1.010,0.998"
37,10311.398312117992,0.007960936854671098,"0.22,0.08,0.29,0.20,0.19,0.02","1.000,1.018,1.018,0.999,1.011,1.018"
38,10223.65467567622,-0.008545794402461518,"0.06,0.23,0.24,0.14,0.05,0.29","1.000,0.993,1.003,0.999,0.979,0.983"
