,0,1,2,3
0,10076.42167228444,0.007613113795381859,"0.17,0.13,0.53,0.04,0.07,0.06","1.000,0.992,1.020,1.006,0.988,1.007"
1,10137.554836141608,0.006048621874623856,"0.23,0.12,0.31,0.10,0.10,0.14","1.000,1.026,0.997,1.033,1.007,1.007"
2,10281.451888357915,0.014094655666408011,"0.11,0.06,0.26,0.22,0.13,0.21","1.000,1.008,1.001,1.032,1.052,1.002"
3,10389.457772701104,0.010450131998375384,"0.11,0.26,0.02,0.19,0.30,0.12","1.000,1.026,1.027,1.007,1.012,1.001"
4,10457.464940849088,0.00652445546321763,"0.18,0.05,0.05,0.23,0.47,0.02","1.000,1.005,1.008,0.991,1.019,1.003"
5,10489.825196736918,0.0030896866772076982,"0.14,0.17,0.13,0.29,0.15,0.11","1.000,1.001,0.982,1.009,1.034,0.993"
6,10314.71668008567,-0.01683407911088687,"0.10,0.04,0.23,0.13,0.30,0.20","1.000,0.965,0.982,0.990,0.987,0.978"
7,10292.41225618938,-0.00216472975689559,"0.09,0.12,0.15,0.04,0.22,0.37","1.000,1.057,0.983,0.956,1.017,0.982"
8,10161.447281975286,-0.012806068582723526,"0.20,0.06,0.22,0.21,0.25,0.07","1.000,1.031,1.020,0.912,1.005,1.007"
9,10026.842356588766,-0.013335148492570979,"0.05,0.28,0.44,0.06,0.05,0.12","1.000,0.985,0.979,0.992,0.988,1.028"
10,10116.311827654963,0.008883420999703658,"0.06,0.10,0.31,0.41,0.05,0.06","1.000,1.013,1.014,1.012,1.002,1.002"
11,10152.669356660119,0.0035875081898425914,"0.04,0.26,0.09,0.42,0.12,0.06","1.000,1.000,1.011,1.005,1.003,1.017"
12,10257.39788188356,0.010262528110333359,"0.06,0.09,0.26,0.36,0.08,0.15","1.000,1.008,1.005,0.993,1.109,1.020"
13,10352.053409795566,0.009185707288914081,"0.05,0.05,0.35,0.17,0.29,0.09","1.000,1.003,1.011,0.967,1.034,1.026"
14,10256.294105230038,-0.00929332094083807,"0.11,0.09,0.40,0.11,0.22,0.07","1.000,0.992,0.992,0.985,0.991,0.984"
15,10064.804544741623,-0.01884693657132631,"0.18,0.15,0.05,0.04,0.52,0.06","1.000,1.007,0.997,1.004,0.967,0.993"
16,10161.002558342509,0.009512474681483574,"0.09,0.10,0.12,0.07,0.48,0.13","1.000,1.019,1.006,1.015,1.014,0.997"
17,10216.922435460041,0.005488293582366983,"0.21,0.36,0.14,0.14,0.05,0.11","1.000,1.023,1.003,0.986,1.002,1.005"
18,10335.189720348677,0.011509142171504163,"0.31,0.08,0.15,0.30,0.09,0.07","1.000,1.013,1.022,1.013,1.039,1.018"
19,10387.383831371013,0.005037426578674608,"0.29,0.09,0.07,0.07,0.45,0.03","1.000,1.005,1.026,1.022,1.007,0.995"
20,10306.160480687993,-0.007850155253547758,"0.30,0.13,0.18,0.15,0.21,0.04","1.000,1.006,1.008,0.975,0.974,1.005"
21,10608.151014075285,0.028880847845709146,"0.09,0.05,0.11,0.15,0.56,0.04","1.000,1.007,1.008,0.999,1.053,0.994"
22,10566.657243882877,-0.0039191687403756096,"0.07,0.18,0.13,0.40,0.08,0.14","1.000,0.998,1.000,1.002,0.977,1.000"
23,10563.652249342154,-0.00028442503995920407,"0.36,0.14,0.08,0.06,0.30,0.06","1.000,1.008,1.011,0.997,0.996,1.014"
24,10566.141483442176,0.0002356136688333123,"0.09,0.24,0.05,0.12,0.41,0.08","1.000,1.027,0.994,0.986,0.992,1.000"
25,10515.26287582863,-0.004826880176530905,"0.13,0.34,0.18,0.15,0.06,0.13","1.000,0.994,0.995,0.991,1.026,0.998"
26,10484.777398702863,-0.002903375245211996,"0.06,0.34,0.13,0.32,0.06,0.09","1.000,0.974,1.005,1.018,0.998,1.002"
